iter,TEST BPP,TEST MSE,TEST loss,Best Loss,Best BPP,Best MSE
1,5.40625,2.0671699179471816,20677.079852539064,20677.079852539064,5.40625,2.0671699179471816
10000,5.8260625,0.0013316382905404157,18.78482746696472,18.78482746696472,5.40625,0.0013316382905404157
20000,6.08596875,0.0006037247463493687,11.902749817848205,11.902749817848205,5.40625,0.0006037247463493687
30000,6.181296875,0.0004731437237060791,10.787564367294312,10.787564367294312,5.40625,0.0004731437237060791
40000,6.2316875,0.0006291976908968598,12.451981420516967,10.787564367294312,5.40625,0.0004731437237060791
50000,6.2963125,0.00042747023066323683,10.518403780937195,10.518403780937195,5.40625,0.00042747023066323683
60000,6.316109375,0.00040293950419401645,10.306494134902954,10.306494134902954,5.40625,0.00040293950419401645
70000,6.351171875,0.00035845279656457585,9.90288860797882,9.90288860797882,5.40625,0.00035845279656457585
80000,6.380390625,0.00046491674592236506,10.999890111923218,9.90288860797882,5.40625,0.00035845279656457585
90000,6.427859375,0.0004940998473451929,11.34072058391571,9.90288860797882,5.40625,0.00035845279656457585
100000,6.446578125,0.00029581250797242346,9.376777741909027,9.376777741909027,5.40625,0.00029581250797242346
110000,6.440046875,0.000510365386017952,11.517463365554809,9.376777741909027,5.40625,0.00029581250797242346
120000,6.46690625,0.00030161553324308747,9.457342037200927,9.376777741909027,5.40625,0.00029581250797242346
130000,6.47646875,0.0003252477986163712,9.703474349021912,9.376777741909027,5.40625,0.00029581250797242346
140000,6.47403125,0.00025368159890818955,8.985494088172912,8.985494088172912,5.40625,0.00025368159890818955
150000,6.49865625,0.0002929050283935609,9.401834013462066,8.985494088172912,5.40625,0.00025368159890818955
160000,6.52040625,0.0002753443777599423,9.246979053020477,8.985494088172912,5.40625,0.00025368159890818955
170000,6.5439375,0.00033798416223850843,9.896170129299163,8.985494088172912,5.40625,0.00025368159890818955
180000,6.55384375,0.0002613456347951593,9.139005831718444,8.985494088172912,5.40625,0.00025368159890818955
