Model,Experiment,bpp,ppl_wikitext2,ppl_c4,hellaswag,mathqa,openbookqa,pubmedqa,sciq,zeroshot,commonsense,average9,mmlu,average6,qat,mse,average,ppl_ptb,proxy_err,mse_normed,lambda,arc_challenge,arc_easy,boolq,piqa,winogrande,bpp_key
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search,3.9230493709151717,,224.0901336669922,0.4130651264688309,,,,,0.6838582493959094,0.6387260622413964,,0.5141717704030765,,,0.0272951903288726,,,0.002549450484072,,300,0.4539249146757679,0.7773569023569024,0.7553516819571865,0.7562568008705114,0.6764009471191792,3.923049
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search,4.759832492758637,,204.7849578857422,0.4113722366062537,,,,,0.6795034939048364,0.6348149510217393,,0.536889332003988,,,0.0088123405764532,,,0.0008283997480333,,1000,0.4496587030716723,0.7685185185185185,0.7764525993883792,0.7470076169749728,0.6558800315706393,4.759832
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search,5.9709016536827,,211.5823516845703,0.4148575980880303,,,,,0.67833638874646,0.634423256970055,,0.5725680102549494,,,0.0020675626560596,,,0.0002028606958731,,10000,0.4488054607508532,0.7697811447811448,0.7629969418960245,0.750272034820457,0.65982636148382,5.970902
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed2,2.233545724419056,,261.7801208496094,0.3414658434574786,,,,,0.5662573682462393,0.5287921141147792,,0.3262355789773536,,,0.2586578878543901,,,0.0244278285184048,,30,0.3088737201365187,0.6477272727272727,0.6110091743119266,0.6898803046789989,0.5737963693764798,2.233546
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed2,2.5972092490077694,,234.70114135742188,0.3734315873332005,,,,,0.6211378722378449,0.5798534914204042,,0.471656459193847,,,0.1567359408207865,,,0.0148170544925169,,50,0.3626279863481229,0.6982323232323232,0.6886850152905198,0.7176278563656148,0.6385161799526441,2.597209
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed2,3.1257190120470733,,226.8285217285156,0.3991236805417247,,,,,0.6543129762680884,0.6117814269803611,,0.5292693348525851,,,0.0787078877941188,,,0.0074646225487584,,100,0.4223549488054607,0.7436868686868687,0.7201834862385321,0.7334058759521219,0.6519337016574586,3.125719
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed2,3.9212766645495467,,230.2318725585937,0.4059948217486556,,,,,0.6748529641637739,0.6300432737612542,,0.5451502634952285,,,0.0229430808860777,,,0.0022166723043243,,300,0.4488054607508532,0.7752525252525253,0.746177370030581,0.749727965179543,0.654301499605367,3.921277
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed2,4.756394692956404,,212.64393615722656,0.4151563433578968,,,,,0.6744533606330494,0.6312371910871907,,0.5567582965389546,,,0.0086620304093298,,,0.0008082407750494,,1000,0.447098976109215,0.7668350168350169,0.7547400611620795,0.7524483133841132,0.6511444356748224,4.756395
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed2,5.966715778570725,,214.19403076171875,0.4171479784903406,,,,,0.6775295264256218,0.6341326017697416,,0.560461472724683,,,0.0020254662653988,,,0.0001960662007608,,10000,0.447098976109215,0.7748316498316499,0.7525993883792049,0.7540805223068553,0.659037095501184,5.966716
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed3,2.2282807160063083,,286.755615234375,0.3525194184425413,,,,,0.586360896811484,0.5473873170833269,,0.3445378151260504,,,0.260073309965078,,,0.0244912193012138,,30,0.2935153583617747,0.6468855218855218,0.6920489296636085,0.6947769314472253,0.6045777426992897,2.228281
