run,dataset,label,shared_eb,lmbda,iter,max_iter,bpp,mse,loss
llama8b_linear_linear_compressai_M16_lmbda8192,llama8b,linear,False,8192.0,20000,20000,4.701689720153809,0.0021213438342800404,21.089859008789062
llama8b_linear_linear_compressai_M16_lmbda32_sharedEB,llama8b,linear,True,32.0,20000,20000,2.9305500984191895,0.023831604053301376,3.64972186088562
llama8b_linear_linear_compressai_M16_lmbda128_sharedEB,llama8b,linear,True,128.0,20000,20000,3.927583694458008,0.005978431934561267,4.649233818054199
llama8b_linear_linear_compressai_M16_lmbda1024_sharedEB,llama8b,linear,True,1024.0,20000,20000,4.658926963806152,0.0022188823172004306,6.801638126373291
llama8b_linear_linear_compressai_M16_lmbda8192_sharedEB,llama8b,linear,True,8192.0,20000,20000,4.702206611633301,0.0021225961786218266,21.100048065185547
llama8b_encR2_decR2_compressai_M16_lmbda32,llama8b,resblock(n=2),False,32.0,20000,20000,2.9177262783050537,0.023895375124368016,3.638822555541992
llama8b_encR2_decR2_compressai_M16_lmbda128,llama8b,resblock(n=2),False,128.0,20000,20000,3.9193692207336426,0.006009443152122412,4.6447625160217285
llama8b_encR2_decR2_compressai_M16_lmbda1024,llama8b,resblock(n=2),False,1024.0,20000,20000,5.314361095428467,0.0009339155860432205,6.216216564178467
llama8b_encR2_decR2_compressai_M16_lmbda8192,llama8b,resblock(n=2),False,8192.0,20000,20000,5.89548397064209,0.0006075704992669068,10.589191436767578
llama8b_encR2_decR2_compressai_M16_lmbda32_sharedEB,llama8b,resblock(n=2),True,32.0,20000,20000,2.9200680255889893,0.02379929153419974,3.6382646560668945
llama8b_encR2_decR2_compressai_M16_lmbda128_sharedEB,llama8b,resblock(n=2),True,128.0,20000,20000,3.919827699661255,0.005994574754881068,4.643426418304443
llama8b_encR2_decR2_compressai_M16_lmbda1024_sharedEB,llama8b,resblock(n=2),True,1024.0,20000,20000,5.327327728271484,0.0009263240524251405,6.2218523025512695
llama8b_encR2_decR2_compressai_M16_lmbda8192_sharedEB,llama8b,resblock(n=2),True,8192.0,20000,20000,5.969339370727539,0.0005508369295196661,10.224759101867676
llama8b_encR2_decLinear_compressai_M16_lmbda32,llama8b,resblock(n=2)/linear,False,32.0,20000,20000,2.9276201725006104,0.023893409156859217,3.6486570835113525
llama8b_encR2_decLinear_compressai_M16_lmbda128,llama8b,resblock(n=2)/linear,False,128.0,20000,20000,3.9264185428619385,0.005980350672772491,4.6483001708984375
llama8b_encR2_decLinear_compressai_M16_lmbda1024,llama8b,resblock(n=2)/linear,False,1024.0,20000,20000,5.424907684326172,0.000750265806347329,6.149417877197266
llama8b_encR2_decLinear_compressai_M16_lmbda8192,llama8b,resblock(n=2)/linear,False,8192.0,20000,20000,6.754953384399414,0.00012132967760588551,7.692270278930664
llama8b_encR2_decLinear_compressai_M16_lmbda32_sharedEB,llama8b,resblock(n=2)/linear,True,32.0,20000,20000,2.926915168762207,0.02389355506851026,3.647956371307373
llama8b_encR2_decLinear_compressai_M16_lmbda128_sharedEB,llama8b,resblock(n=2)/linear,True,128.0,20000,20000,3.9261763095855713,0.005979934824567016,4.648007869720459
llama8b_encR2_decLinear_compressai_M16_lmbda1024_sharedEB,llama8b,resblock(n=2)/linear,True,1024.0,20000,20000,5.424694061279297,0.0007500222202851428,6.1489691734313965
llama8b_encR2_decLinear_compressai_M16_lmbda8192_sharedEB,llama8b,resblock(n=2)/linear,True,8192.0,20000,20000,6.750844955444336,0.00012097921365917248,7.685454368591309
llama8b_rht_rht_compressai_M16_lmbda32,llama8b,rht,False,32.0,18000,20000,2.9728269577026367,0.023346315725139385,3.677354097366333
llama8b_rht_rht_compressai_M16_lmbda128,llama8b,rht,False,128.0,20000,20000,3.947360038757324,0.0059403885433758795,4.664417743682861
llama8b_rht_rht_compressai_M16_lmbda1024,llama8b,rht,False,1024.0,20000,20000,5.439709663391113,0.0007467416559965969,6.160816669464111
llama8b_rht_rht_compressai_M16_lmbda8192,llama8b,rht,False,8192.0,20000,20000,6.614933013916016,0.00014635136588345073,7.745551586151123
llama8b_rht_rht_compressai_M16_lmbda32_sharedEB,llama8b,rht,True,32.0,20000,20000,2.9729597568511963,0.023341775568923754,3.677349805831909
llama8b_rht_rht_compressai_M16_lmbda128_sharedEB,llama8b,rht,True,128.0,20000,20000,3.947446823120117,0.005939645161911615,4.664414882659912
llama8b_rht_rht_compressai_M16_lmbda1024_sharedEB,llama8b,rht,True,1024.0,20000,20000,5.439737319946289,0.0007467141055730117,6.160817623138428
llama8b_rht_rht_compressai_M16_lmbda8192_sharedEB,llama8b,rht,True,8192.0,20000,20000,6.614977836608887,0.00014635326177496921,7.745611190795898
