run,dataset,label,encoder_transform,decoder_transform,encoder_n_resblock,decoder_n_resblock,lmbda,iter,bpp,mse_normed,recon_loss,loss,ckpt
gaussian_resblock-resblock_compressai_M16_lmbda8192,gaussian,resblock(n=2),resblock,resblock,2,2,8192.0,20000,5.981768608093262,0.0005356362671585984,0.0005356362671591341,10.369701385498047,checkpoint/rd_sweep/gaussian_resblock-resblock_compressai_M16_lmbda8192/best.pth.tar
gaussian_encR2_decLinear_compressai_M16_lmbda32,gaussian,resblock(n=2)/linear,resblock,linear,2,4,32.0,2000,3.544153928756714,0.0134299015626177,0.01342990156263113,3.9739108085632324,checkpoint/rd_sweep_extra/gaussian_encR2_decLinear_compressai_M16_lmbda32/best.pth.tar
gaussian_encR2_decLinear_compressai_M16_lmbda64,gaussian,resblock(n=2)/linear,resblock,linear,2,4,64.0,2000,3.739248275756836,0.009054008871307855,0.00905400887131691,4.318704605102539,checkpoint/rd_sweep_extra/gaussian_encR2_decLinear_compressai_M16_lmbda64/best.pth.tar
gaussian_encR2_decLinear_compressai_M16_lmbda128,gaussian,resblock(n=2)/linear,resblock,linear,2,4,128.0,2000,4.0728583335876465,0.005500605795526964,0.005500605795532465,4.776936054229736,checkpoint/rd_sweep_extra/gaussian_encR2_decLinear_compressai_M16_lmbda128/best.pth.tar
gaussian_encR2_decLinear_compressai_M16_lmbda256,gaussian,resblock(n=2)/linear,resblock,linear,2,4,256.0,4000,4.503856658935547,0.0028149420395465357,0.0028149420395493507,5.224481582641602,checkpoint/rd_sweep_extra/gaussian_encR2_decLinear_compressai_M16_lmbda256/best.pth.tar
gaussian_encR2_decLinear_compressai_M16_lmbda1024,gaussian,resblock(n=2)/linear,resblock,linear,2,4,1024.0,20000,5.4858832359313965,0.0007090791477814676,0.0007090791477821767,6.21198034286499,checkpoint/rd_sweep_extra/gaussian_encR2_decLinear_compressai_M16_lmbda1024/best.pth.tar
gaussian_encR2_decLinear_compressai_M16_lmbda8192,gaussian,resblock(n=2)/linear,resblock,linear,2,4,8192.0,20000,6.776476860046387,0.00012271256127848124,0.00012271256127860397,7.78173828125,checkpoint/rd_sweep_extra/gaussian_encR2_decLinear_compressai_M16_lmbda8192/best.pth.tar
gaussian_encR2_decR1_compressai_M16_lmbda32,gaussian,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,32.0,2000,3.9140076637268066,0.010392922908057309,0.010392922908067703,4.246581077575684,checkpoint/rd_sweep_extra/gaussian_encR2_decR1_compressai_M16_lmbda32/best.pth.tar
gaussian_encR2_decR1_compressai_M16_lmbda64,gaussian,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,64.0,2000,4.224544048309326,0.006170219741755514,0.006170219741761684,4.619438171386719,checkpoint/rd_sweep_extra/gaussian_encR2_decR1_compressai_M16_lmbda64/best.pth.tar
gaussian_encR2_decR1_compressai_M16_lmbda128,gaussian,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,128.0,2000,4.451959609985352,0.004282684531058558,0.004282684531062841,5.000143051147461,checkpoint/rd_sweep_extra/gaussian_encR2_decR1_compressai_M16_lmbda128/best.pth.tar
gaussian_encR2_decR1_compressai_M16_lmbda256,gaussian,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,256.0,18000,4.482793807983398,0.0028622203972161996,0.002862220397219062,5.215522289276123,checkpoint/rd_sweep_extra/gaussian_encR2_decR1_compressai_M16_lmbda256/best.pth.tar
gaussian_encR2_decR1_compressai_M16_lmbda1024,gaussian,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,1024.0,20000,5.415604591369629,0.000814021739642253,0.0008140217396430671,6.249162673950195,checkpoint/rd_sweep_extra/gaussian_encR2_decR1_compressai_M16_lmbda1024/best.pth.tar
gaussian_encR2_decR1_compressai_M16_lmbda8192,gaussian,resblock(n=2)/resblock(n=1),resblock,resblock,2,1,8192.0,20000,6.04292106628418,0.0004036098835054474,0.00040360988350585103,9.349292755126953,checkpoint/rd_sweep_extra/gaussian_encR2_decR1_compressai_M16_lmbda8192/best.pth.tar
gaussian_rht-rht_compressai_M16_lmbda32,gaussian,rht,rht,rht,2,2,32.0,20000,2.260850667953491,0.06426431238644849,0.06426431238651276,4.31730842590332,checkpoint/rd_sweep/gaussian_rht-rht_compressai_M16_lmbda32/best.pth.tar
gaussian_rht-rht_compressai_M16_lmbda64,gaussian,rht,rht,rht,2,2,64.0,20000,2.2931363582611084,0.06294050067656898,0.06294050067663193,6.321328163146973,checkpoint/rd_sweep/gaussian_rht-rht_compressai_M16_lmbda64/best.pth.tar
gaussian_rht-rht_compressai_M16_lmbda128,gaussian,rht,rht,rht,2,2,128.0,20000,2.3079328536987305,0.06264019012444907,0.06264019012451172,10.32587718963623,checkpoint/rd_sweep/gaussian_rht-rht_compressai_M16_lmbda128/best.pth.tar
