iter,Test BPP,Test MSE,Best Loss,Best MSE
1,8.0,2980634003865007.0,8.0,2980634003865007.0
10000,5.01,9290269941764.324,5.01,9290269941764.324
20000,5.078,14786376950898.018,5.01,9290269941764.324
30000,5.11,3820666984173.1924,5.01,3820666984173.1924
40000,5.026,3095468384278.5337,5.01,3095468384278.5337
50000,5.05,13374191207.435915,5.01,13374191207.435915
60000,5.074,330335150602.28033,5.01,13374191207.435915
70000,5.054,69829939458.57863,5.01,13374191207.435915
80000,5.046,270412371683.01392,5.01,13374191207.435915
90000,5.046,5378123185265.672,5.01,13374191207.435915
100000,5.03,3220699960914.929,5.01,13374191207.435915
110000,5.07,903716175413.4142,5.01,13374191207.435915
120000,5.078,5513441634755.675,5.01,13374191207.435915
130000,5.08,3513206687479.8896,5.01,13374191207.435915
140000,5.074,21215078763767.715,5.01,13374191207.435915
150000,5.064,7886396587756.7705,5.01,13374191207.435915
