weight_bw,fp32_top1,baseline_weight_only_top1,adaround_weight_only_top1,baseline_drop,adaround_drop,adaround_gain,elapsed_sec
2,69.6883,0.1076,52.7814,69.5807,16.9069,52.6738,755.44
3,69.6863,9.5576,67.0665,60.1287,2.6198,57.5089,760.66
4,69.6903,57.0591,68.9986,12.6313,0.6918,11.9395,763.9
5,69.6883,67.1908,69.6601,2.4975,0.0282,2.4693,770.79
6,69.6903,69.2638,69.5946,0.4265,0.0958,0.3307,765.43
