iter,Test Loss,Test MSE,Best Loss,Best MSE
1,2.821696610450745,2.8216965881245537,2.821696610450745,2.8216965881245537
10000,0.03579552297852934,0.035795522705791276,0.03579552297852934,0.035795522705791276
20000,0.0031854158899514004,0.0031854158609355017,0.0031854158899514004,0.0031854158609355017
30000,0.0009845379001781113,0.0009845378960382245,0.0009845379001781113,0.0009845378960382245
40000,0.00039177780847603574,0.00039177780617312777,0.00039177780847603574,0.00039177780617312777
50000,0.00017442400178697425,0.00017442400039528294,0.00017442400178697425,0.00017442400039528294
60000,0.00019531508120599028,0.00019531508038803254,0.00017442400178697425,0.00017442400039528294
70000,0.00047891666682698997,0.0004789166661044643,0.00017442400178697425,0.00017442400039528294
80000,0.0002704170471552061,0.0002704170448219108,0.00017442400178697425,0.00017442400039528294
90000,0.00037552571172818716,0.0003755257126944871,0.00017442400178697425,0.00017442400039528294
100000,0.000371909370764115,0.0003719093621396327,0.00017442400178697425,0.00017442400039528294
110000,0.0012807020637792448,0.0012807020687103953,0.00017442400178697425,0.00017442400039528294
120000,9.557480072544422e-05,9.557480009960696e-05,9.557480072544422e-05,9.557480009960696e-05
130000,0.002032491181189471,0.0020324912128291857,9.557480072544422e-05,9.557480009960696e-05
140000,7.812856203509e-05,7.812856171010276e-05,7.812856203509e-05,7.812856171010276e-05
150000,0.00036990770202100973,0.0003699076978121194,7.812856203509e-05,7.812856171010276e-05
160000,0.0011359619786253461,0.0011359619371287043,7.812856203509e-05,7.812856171010276e-05
170000,0.0002245023399582351,0.00022450233837540076,7.812856203509e-05,7.812856171010276e-05
180000,0.0002723917461280507,0.00027239174560588213,7.812856203509e-05,7.812856171010276e-05
190000,0.00025180922628533154,0.0002518092254719108,7.812856203509e-05,7.812856171010276e-05
200000,0.0002934817982259119,0.00029348179857761615,7.812856203509e-05,7.812856171010276e-05
210000,0.00011521653279669408,0.00011521653142607734,7.812856203509e-05,7.812856171010276e-05
220000,9.04465894027453e-05,9.04465872928093e-05,7.812856203509e-05,7.812856171010276e-05
230000,0.00032737406900378116,0.00032737406576411146,7.812856203509e-05,7.812856171010276e-05
240000,0.000479563700962899,0.00047956369370248046,7.812856203509e-05,7.812856171010276e-05
250000,5.679940133722994e-05,5.679940088590119e-05,5.679940133722994e-05,5.679940088590119e-05
260000,9.708781450353854e-05,9.708781453972434e-05,5.679940133722994e-05,5.679940088590119e-05
270000,0.0004362241397284379,0.0004362241405761446,5.679940133722994e-05,5.679940088590119e-05
280000,0.00012018247163268825,0.0001201824719533938,5.679940133722994e-05,5.679940088590119e-05
290000,8.666367009209353e-05,8.66636688317562e-05,5.679940133722994e-05,5.679940088590119e-05
300000,0.0001971180411555906,0.00019711804191827596,5.679940133722994e-05,5.679940088590119e-05
310000,0.000110515993226727,0.00011051599299669843,5.679940133722994e-05,5.679940088590119e-05
320000,5.645384857052704e-05,5.645384810476143e-05,5.645384857052704e-05,5.645384810476143e-05
330000,0.00015022846104329802,0.00015022845803725702,5.645384857052704e-05,5.645384810476143e-05
340000,6.463967106901691e-05,6.463967059809375e-05,5.645384857052704e-05,5.645384810476143e-05
350000,8.105626622818818e-05,8.105626523759787e-05,5.645384857052704e-05,5.645384810476143e-05
360000,6.230845604477509e-05,6.230845567231218e-05,5.645384857052704e-05,5.645384810476143e-05
370000,7.341988678399503e-05,7.341988691524383e-05,5.645384857052704e-05,5.645384810476143e-05
380000,9.812315205999766e-05,9.812315122224806e-05,5.645384857052704e-05,5.645384810476143e-05
390000,8.049772012327594e-05,8.049771965509764e-05,5.645384857052704e-05,5.645384810476143e-05
400000,0.00011690992578405712,0.00011690992625750918,5.645384857052704e-05,5.645384810476143e-05
410000,6.15317709343799e-05,6.153177034227816e-05,5.645384857052704e-05,5.645384810476143e-05
