iter,Test Loss,Test MSE
1,0.05951686259754933,1.2499012585506182
50000,0.000638254325640446,0.01337193782150921
100000,0.00042984093049562946,0.0095833672512311
150000,0.00043843920616018294,0.009794689592657101
200000,0.00042791825364656686,0.009712882106262536
250000,0.0003967610157578747,0.009531461627198385
300000,0.0004215716928702022,0.009951491967232077
350000,0.00036154286101555043,0.008893624092213745
400000,0.0004140791819563674,0.009475654947400167
450000,0.0003618498817731961,0.008181629651920217
500000,0.00039981872903626937,0.00978220979379329
550000,0.0004156673800007411,0.0121008115432926
600000,0.000358301596594174,0.008548513723111214
650000,0.00035395945423260855,0.008227741768049614
700000,0.0003512012810952001,0.00802761406191481
750000,0.000343246217405067,0.008245636794116957
800000,0.00034811591467951076,0.007879436146584685
850000,0.00034473701807837643,0.008450637027548849
900000,0.00031361310173451786,0.0077594379189579845
950000,0.00030354979072399146,0.007348831612593475
1000000,0.00031266712113392714,0.007043700694852874
1050000,0.00030772491303832794,0.008035209847522538
1100000,0.00032225260117411383,0.007454285913735051
1150000,0.00032005067118916485,0.008362097882235556
1200000,0.0003060444072889368,0.0072105243204558704
1250000,0.0002888508791420463,0.007021302738846321
1300000,0.0002728989968318274,0.006422430651033134
1350000,0.00026305579137351744,0.006092463861553642
1400000,0.0002901130881455174,0.006959310801641426
1450000,0.00028294587538221094,0.007625495415087029
1500000,0.0003298216510393104,0.008133072360703535
