module_name,module_type,original_shape,matrix_shape,padded_shape,used_hessian,hessian_input_dim,hessian_sample_count,hessian_batch_count,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",True,147,6422528,16,0,13,9408,320.0,29204.228515625,2.820725440979004,3.1041909561676233,,,,0.0009838097030296922,0.2418491542339325,0.05850564315915108,1.195
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,103181.6171875,2.7677305009629993,2.7989805009629993,,,,0.00011819198698503897,0.20326021313667297,0.04145166650414467,1.5485
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,107867.734375,2.894849565294054,2.926099565294054,,,,8.836638153297827e-05,0.20793335139751434,0.04325183480978012,1.3019
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,106419.640625,2.8555675082736545,2.8868175082736545,,,,0.0001438776234863326,0.23569412529468536,0.05567612871527672,0.941
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,107731.4765625,2.891153335571289,2.922403335571289,,,,7.323658064706251e-05,0.19452477991580963,0.037869952619075775,0.9922
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",True,576,401408,16,0,0,73728,1152.0,215385.765625,2.9057314130995007,2.9213564130995007,,,,9.422576113138348e-05,0.23329417407512665,0.05449195206165314,0.9752
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,426213.53125,2.87482049730089,2.89044549730089,,,,3.983950591646135e-05,0.18545012176036835,0.034437745809555054,2.3116
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",True,64,401408,16,0,0,8192,128.0,22480.578125,2.728586196899414,2.744211196899414,,,,0.00018367690790910274,0.1917916089296341,0.03682893142104149,0.2995
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,427377.03125,2.882710986667209,2.898335986667209,,,,4.237049142830074e-05,0.19030413031578064,0.036287978291511536,2.176
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,433236.65625,2.9224491119384766,2.9380741119384766,,,,2.9544429708039388e-05,0.18071381747722626,0.0327158123254776,3.1905
