weight_bw,fp32_top1,baseline_weight_only_top1,adaround_weight_only_top1,baseline_drop,adaround_drop,adaround_gain,elapsed_sec
2,68.2945,0.1055,4.9005,68.1891,63.3941,4.795,216.11
3,68.2945,9.3645,60.7538,58.9301,7.5407,51.3893,218.29
4,68.2945,55.9198,66.8902,12.3747,1.4044,10.9703,216.01
5,68.2945,65.847,68.0173,2.4475,0.2773,2.1703,220.75
6,68.2945,67.8766,68.2808,0.418,0.0138,0.4042,217.28
