iter,TEST BPP,TEST MSE,TEST loss,Best Loss,Best BPP,Best MSE
1,110.904,1.820549417613312,290.0432908782959,290.0432908782959,110.904,1.820549417613312
10000,6.408,0.007466335735624949,4.504359969615936,4.504359969615936,6.408,0.007466335735624949
20000,6.424,0.007269076730286098,4.498816601276397,4.498816601276397,6.408,0.007269076730286098
30000,6.418,0.007283972631105769,4.502095081329346,4.498816601276397,6.408,0.007269076730286098
40000,6.424,0.0073111445189413095,4.506093457937241,4.498816601276397,6.408,0.007269076730286098
50000,6.42,0.0073377110500858446,4.508921183347702,4.498816601276397,6.408,0.007269076730286098
60000,6.422,0.007325797068040254,4.508458449840545,4.498816601276397,6.408,0.007269076730286098
70000,6.426,0.00733655399372661,4.509039507865905,4.498816601276397,6.408,0.007269076730286098
80000,6.43,0.007330524723041504,4.5087209532260895,4.498816601276397,6.408,0.007269076730286098
90000,6.426,0.007353809204381288,4.509957840442658,4.498816601276397,6.408,0.007269076730286098
100000,6.42,0.007309271115861166,4.504860069990158,4.498816601276397,6.408,0.007269076730286098
110000,6.418,0.007258301413089855,4.499433469295502,4.498816601276397,6.408,0.007258301413089855
120000,6.41,0.007216078965477931,4.493872917413712,4.493872917413712,6.408,0.007216078965477931
130000,6.412,0.007224403790429564,4.494187947750092,4.493872917413712,6.408,0.007216078965477931
140000,6.416,0.007223630493473226,4.4945955562591555,4.493872917413712,6.408,0.007216078965477931
150000,6.414,0.007232151579449879,4.495623763561249,4.493872917413712,6.408,0.007216078965477931
160000,6.42,0.007272622214288747,4.4992008402347565,4.493872917413712,6.408,0.007216078965477931
170000,6.418,0.007291183354323025,4.500449702978134,4.493872917413712,6.408,0.007216078965477931
180000,6.426,0.007322479648791226,4.503331658601761,4.493872917413712,6.408,0.007216078965477931
190000,6.434,0.007335654254641862,4.504423596382141,4.493872917413712,6.408,0.007216078965477931
200000,6.42,0.00734067284075434,4.504103857278824,4.493872917413712,6.408,0.007216078965477931
210000,6.424,0.00737251438860988,4.505822105884552,4.493872917413712,6.408,0.007216078965477931
