lambda_tag,checkpoint_path,save_path,fp32_top1,compressed_top1,top1_drop,fp32_top5,compressed_top5,top5_drop,estimated_bits_per_param,actual_bits_per_param,estimated_compression_ratio,actual_compression_ratio,weighted_mse
lmbda10,/home/jgryu/workspace/weight_compression/NWC/checkpoint/nwc_ql/block_seq_ql_random_scaler_meta-llama--Meta-Llama-3-8B__col_1024_gaussian_padding.pt/M16/lmbda10_rdloss_ql_size16_encdim512_M16_Q4_R0_m0_batch_size2048_total_iter200000_lr0.0001_seed100/best_loss_model_loss_2.58439_bpp_3.44134_MSE_0.08381_total_iter_95000.pth.tar,resnet18_nwc_lambda_sweep_ql_ldlq4/lmbda10,69.764,50.756,19.007999999999996,89.07,75.22,13.849999999999994,1.5384118375669862,,20.80067197780298,,0.000216571776897893
lmbda100,/home/jgryu/workspace/weight_compression/NWC/checkpoint/nwc_ql/block_seq_ql_random_scaler_meta-llama--Meta-Llama-3-8B__col_1024_gaussian_padding.pt/M16/lmbda100_rdloss_ql_size16_encdim512_M16_Q4_R0_m0_batch_size2048_total_iter200000_lr0.0001_seed100/best_loss_model_loss_4.42601_bpp_5.12872_MSE_0.0082_total_iter_95000.pth.tar,resnet18_nwc_lambda_sweep_ql_ldlq4/lmbda100,69.764,69.01,0.7539999999999907,89.07,88.718,0.35199999999998965,3.1460460815172144,,10.17149754671351,,2.6927411474246702e-05
lmbda1000,/home/jgryu/workspace/weight_compression/NWC/checkpoint/nwc_ql/block_seq_ql_random_scaler_meta-llama--Meta-Llama-3-8B__col_1024_gaussian_padding.pt/M16/lmbda1000_rdloss_ql_size16_encdim512_M16_Q4_R0_m0_batch_size2048_total_iter200000_lr0.0001_seed100/best_loss_model_loss_6.50423_bpp_6.04616_MSE_0.00111_total_iter_100000.pth.tar,resnet18_nwc_lambda_sweep_ql_ldlq4/lmbda1000,69.764,69.678,0.08599999999999852,89.07,89.066,0.003999999999990678,4.772210112819156,,6.705488493484663,,3.0174053590485877e-06
lmbda30,/home/jgryu/workspace/weight_compression/NWC/checkpoint/nwc_ql/block_seq_ql_random_scaler_meta-llama--Meta-Llama-3-8B__col_1024_gaussian_padding.pt/M16/lmbda30_rdloss_ql_size16_encdim512_M16_Q4_R0_m0_batch_size2048_total_iter200000_lr0.0001_seed100/best_loss_model_loss_3.46368_bpp_4.27494_MSE_0.02685_total_iter_95000.pth.tar,resnet18_nwc_lambda_sweep_ql_ldlq4/lmbda30,69.764,67.152,2.6119999999999948,89.07,87.476,1.593999999999994,2.3017858578403962,,13.902248939014399,,8.207734792088358e-05
lmbda300,/home/jgryu/workspace/weight_compression/NWC/checkpoint/nwc_ql/block_seq_ql_random_scaler_meta-llama--Meta-Llama-3-8B__col_1024_gaussian_padding.pt/M16/lmbda300_rdloss_ql_size16_encdim512_M16_Q4_R0_m0_batch_size2048_total_iter200000_lr0.0001_seed100/best_loss_model_loss_5.32101_bpp_5.72603_MSE_0.00289_total_iter_95000.pth.tar,resnet18_nwc_lambda_sweep_ql_ldlq4/lmbda300,69.764,69.564,0.20000000000000284,89.07,88.93,0.13999999999998636,3.9354388111358856,,8.131240640675555,,9.345820013481291e-06
lmbda50,/home/jgryu/workspace/weight_compression/NWC/checkpoint/nwc_ql/block_seq_ql_random_scaler_meta-llama--Meta-Llama-3-8B__col_1024_gaussian_padding.pt/M16/lmbda50_rdloss_ql_size16_encdim512_M16_Q4_R0_m0_batch_size2048_total_iter200000_lr0.0001_seed100/best_loss_model_loss_3.87239_bpp_4.65884_MSE_0.0162_total_iter_95000.pth.tar,resnet18_nwc_lambda_sweep_ql_ldlq4/lmbda50,69.764,68.268,1.4959999999999951,89.07,88.278,0.7919999999999874,2.657010972432888,,12.043608525522666,,5.156335947234476e-05
lmbda75,/home/jgryu/workspace/weight_compression/NWC/checkpoint/nwc_ql/block_seq_ql_random_scaler_meta-llama--Meta-Llama-3-8B__col_1024_gaussian_padding.pt/M16/lmbda75_/best_loss_model_loss_4.18422_bpp_4.90131_MSE_0.01087_total_iter_47500.pth.tar,resnet18_nwc_lambda_sweep_ql_ldlq4/lmbda75,69.764,68.82,0.9440000000000026,89.07,88.554,0.5159999999999911,2.9434648958859033,,10.871541238601681,,3.5552530314383994e-05
