/opt/conda/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
11:39:57 INFO - test: File name: 0, MSE: 0.21462266371546845, BPP: 1.9501953125
11:39:58 INFO - test: File name: 1, MSE: 0.18552353764483095, BPP: 1.867034912109375
11:39:59 INFO - test: File name: 2, MSE: 0.1912218255911841, BPP: 1.875396728515625
11:39:59 INFO - test: File name: 3, MSE: 0.20557970312713633, BPP: 1.948486328125
11:40:00 INFO - test: File name: 4, MSE: 0.16519273083159017, BPP: 1.74884033203125
11:40:01 INFO - test: File name: 5, MSE: 0.18042310788190039, BPP: 1.845184326171875
11:40:01 INFO - test: File name: 6, MSE: 0.18215601773239243, BPP: 1.852081298828125
11:40:02 INFO - test: File name: 7, MSE: 0.17521234385436418, BPP: 1.813995361328125
11:40:03 INFO - test: File name: 8, MSE: 0.16875272942477193, BPP: 1.77508544921875
11:40:03 INFO - test: File name: 9, MSE: 0.21436432362937807, BPP: 1.900054931640625
11:40:04 INFO - test: File name: 10, MSE: 0.20547905114554268, BPP: 1.929718017578125
11:40:05 INFO - test: File name: 11, MSE: 0.19530041893228348, BPP: 1.870361328125
11:40:06 INFO - test: File name: 12, MSE: 0.15923340415906043, BPP: 1.68328857421875
11:40:06 INFO - test: File name: 13, MSE: 0.17991071271255923, BPP: 1.8446044921875
11:40:07 INFO - test: File name: 14, MSE: 0.16635135913130464, BPP: 1.75616455078125
11:40:08 INFO - test: File name: 15, MSE: 0.18431175707585098, BPP: 1.860595703125
11:40:08 INFO - test: File name: 16, MSE: 0.18859325897694568, BPP: 1.874755859375
11:40:09 INFO - test: File name: 17, MSE: 0.19608448328165431, BPP: 1.861907958984375
11:40:10 INFO - test: File name: 18, MSE: 0.20468927953707058, BPP: 1.938018798828125
11:40:11 INFO - test: File name: 19, MSE: 0.1940543948086961, BPP: 1.876373291015625
11:40:11 INFO - test: File name: 20, MSE: 0.1697219423649221, BPP: 1.780975341796875
11:40:12 INFO - test: File name: 21, MSE: 0.18171989561359586, BPP: 1.854736328125
11:40:13 INFO - test: File name: 22, MSE: 0.20178665508164506, BPP: 1.9215087890625
11:40:13 INFO - test: File name: 23, MSE: 0.17761615751115276, BPP: 1.8275146484375
11:40:14 INFO - test: File name: 24, MSE: 0.16433700664749776, BPP: 1.724090576171875
11:40:15 INFO - test: File name: 25, MSE: 0.20676002995186826, BPP: 1.95574951171875
11:40:16 INFO - test: File name: 26, MSE: 0.18358494765803884, BPP: 1.862640380859375
11:40:16 INFO - test: File name: 27, MSE: 0.16534520399646085, BPP: 1.752197265625
11:40:17 INFO - test: File name: 28, MSE: 0.2047705487185856, BPP: 1.935699462890625
11:40:18 INFO - test: File name: 29, MSE: 0.18834697160097003, BPP: 1.88726806640625
11:40:18 INFO - test: File name: 30, MSE: 0.2240844787728563, BPP: 1.79974365234375
11:40:19 INFO - test: File name: 31, MSE: 0.17066088677437566, BPP: 1.789306640625
11:40:20 INFO - test: File name: 32, MSE: 0.1686525332945442, BPP: 1.774688720703125
11:40:20 INFO - test: File name: 33, MSE: 0.1819212178108378, BPP: 1.850982666015625
11:40:21 INFO - test: File name: 34, MSE: 0.17958133274960492, BPP: 1.843414306640625
11:40:22 INFO - test: File name: 35, MSE: 0.18746291169597246, BPP: 1.879730224609375
11:40:22 INFO - test: File name: 36, MSE: 0.19405875274775422, BPP: 1.88385009765625
11:40:23 INFO - test: File name: 37, MSE: 0.205880018007, BPP: 1.9462890625
11:40:24 INFO - test: File name: 38, MSE: 0.1989881288441395, BPP: 1.892059326171875
11:40:25 INFO - test: File name: 39, MSE: 0.2113943061080159, BPP: 1.83221435546875
11:40:25 INFO - test: File name: 40, MSE: 0.17063557790654016, BPP: 1.788055419921875
11:40:26 INFO - test: File name: 41, MSE: 0.18001442801533182, BPP: 1.83056640625
11:40:27 INFO - test: File name: 42, MSE: 0.17041419824919804, BPP: 1.78253173828125
11:40:27 INFO - test: File name: 43, MSE: 0.18008840357499223, BPP: 1.841033935546875
11:40:28 INFO - test: File name: 44, MSE: 0.18117887297847535, BPP: 1.848876953125
11:40:29 INFO - test: File name: 45, MSE: 0.18817177880402225, BPP: 1.88458251953125
11:40:29 INFO - test: File name: 46, MSE: 0.1682978079956451, BPP: 1.774200439453125
11:40:30 INFO - test: File name: 47, MSE: 0.18447792401575372, BPP: 1.86578369140625
11:40:31 INFO - test: File name: 48, MSE: 0.18142680141936826, BPP: 1.8492431640625
11:40:32 INFO - test: File name: 49, MSE: 0.19224021577668904, BPP: 1.862884521484375
11:40:32 INFO - test: File name: 50, MSE: 0.20480504754995793, BPP: 1.94488525390625
11:40:33 INFO - test: File name: 51, MSE: 0.1816849773989669, BPP: 1.85150146484375
11:40:34 INFO - test: File name: 52, MSE: 0.1793857725136281, BPP: 1.82623291015625
11:40:34 INFO - test: File name: 53, MSE: 0.1802146744033502, BPP: 1.846405029296875
11:40:35 INFO - test: File name: 54, MSE: 0.1792905725143708, BPP: 1.8330078125
11:40:36 INFO - test: File name: 55, MSE: 0.16790965967459726, BPP: 1.7701416015625
11:40:36 INFO - test: File name: 56, MSE: 0.1998687060447015, BPP: 1.910614013671875
11:40:37 INFO - test: File name: 57, MSE: 0.17839024783263743, BPP: 1.826934814453125
11:40:38 INFO - test: File name: 58, MSE: 0.15593739820890637, BPP: 1.679443359375
11:40:38 INFO - test: File name: 59, MSE: 0.17945679415643742, BPP: 1.839385986328125
11:40:39 INFO - test: File name: 60, MSE: 0.1965997776656827, BPP: 1.88909912109375
11:40:40 INFO - test: File name: 61, MSE: 0.1805031189136455, BPP: 1.846588134765625
