/opt/conda/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
11:40:10 INFO - test: File name: 72, MSE: 0.1871908048986315, BPP: 2.171875
11:40:10 INFO - test: File name: 73, MSE: 0.18744790506900658, BPP: 2.1875
11:40:10 INFO - test: File name: 74, MSE: 0.190637187097373, BPP: 2.2265625
11:40:10 INFO - test: File name: 75, MSE: 0.17915452823272762, BPP: 2.1015625
11:40:10 INFO - test: File name: 76, MSE: 0.11245153009382707, BPP: 0.7265625
11:40:11 INFO - test: File name: 77, MSE: 0.16108689581286384, BPP: 1.9375
11:40:11 INFO - test: File name: 78, MSE: 0.18290910242293582, BPP: 2.2109375
11:40:11 INFO - test: File name: 79, MSE: 0.18706205423884295, BPP: 2.15625
11:40:11 INFO - test: File name: 80, MSE: 0.1790879192311404, BPP: 2.0390625
11:40:11 INFO - test: File name: 81, MSE: 0.16042135281863046, BPP: 1.9140625
11:40:12 INFO - test: File name: 82, MSE: 0.19937729827224698, BPP: 2.1328125
11:40:12 INFO - test: File name: 83, MSE: 0.19201571809600407, BPP: 2.2265625
11:40:12 INFO - test: File name: 84, MSE: 0.18883358381705515, BPP: 2.171875
11:40:12 INFO - test: File name: 85, MSE: 0.2110873357982099, BPP: 2.28125
11:40:12 INFO - test: File name: 86, MSE: 0.1859817047356831, BPP: 2.125
11:40:13 INFO - test: File name: 87, MSE: 0.18018132431741998, BPP: 2.1015625
11:40:13 INFO - test: File name: 88, MSE: 0.2611753357139206, BPP: 2.5234375
11:40:13 INFO - test: File name: 89, MSE: 0.18154348113498744, BPP: 2.203125
11:40:13 INFO - test: File name: 90, MSE: 0.20387667889219357, BPP: 2.234375
11:40:13 INFO - test: File name: 91, MSE: 0.1875055064476034, BPP: 2.1015625
11:40:14 INFO - test: File name: 92, MSE: 0.1887106862888049, BPP: 2.109375
11:40:14 INFO - test: File name: 93, MSE: 0.1741696112059195, BPP: 2.1328125
11:40:14 INFO - test: File name: 94, MSE: 0.19131883076185047, BPP: 2.25
11:40:14 INFO - test: File name: 95, MSE: 0.2045289110265423, BPP: 2.28125
11:40:14 INFO - test: File name: 96, MSE: 0.19095641069189478, BPP: 2.21875
11:40:15 INFO - test: File name: 97, MSE: 0.18123023831038645, BPP: 2.1328125
11:40:15 INFO - test: File name: 98, MSE: 0.18038279238709903, BPP: 2.109375
11:40:15 INFO - test: File name: 99, MSE: 0.2148259004884472, BPP: 2.3046875
11:40:15 INFO - test: File name: 100, MSE: 0.1923963722205963, BPP: 2.15625
11:40:16 INFO - test: File name: 101, MSE: 0.2053292219185943, BPP: 2.234375
11:40:16 INFO - test: File name: 102, MSE: 0.18590968021986878, BPP: 2.203125
11:40:16 INFO - test: File name: 103, MSE: 0.17078537066537927, BPP: 2.0859375
11:40:16 INFO - test: File name: 104, MSE: 0.19180482302007795, BPP: 2.2421875
11:40:16 INFO - test: File name: 105, MSE: 0.18999932339807787, BPP: 2.15625
11:40:17 INFO - test: File name: 106, MSE: 0.1956426539037565, BPP: 2.28125
11:40:17 INFO - test: File name: 107, MSE: 0.17957750359813127, BPP: 2.1484375
11:40:17 INFO - test: File name: 108, MSE: 0.1876180287987654, BPP: 2.1640625
11:40:17 INFO - test: File name: 109, MSE: 0.18219939654837275, BPP: 2.1484375
11:40:17 INFO - test: File name: 110, MSE: 0.19504521510359057, BPP: 2.2578125
11:40:18 INFO - test: File name: 111, MSE: 0.18575720705499812, BPP: 2.1640625
11:40:18 INFO - test: File name: 112, MSE: 0.18736225971437878, BPP: 2.140625
11:40:18 INFO - test: File name: 113, MSE: 0.24319068647670766, BPP: 2.46875
11:40:18 INFO - test: File name: 114, MSE: 0.18535930351471971, BPP: 2.125
11:40:18 INFO - test: File name: 115, MSE: 0.18012793500544422, BPP: 2.1484375
11:40:19 INFO - test: File name: 116, MSE: 0.1852301152376199, BPP: 2.15625
11:40:19 INFO - test: File name: 117, MSE: 0.17308927993681428, BPP: 2.0625
11:40:19 INFO - test: File name: 118, MSE: 0.18383406131248314, BPP: 2.1640625
11:40:19 INFO - test: File name: 119, MSE: 0.1836874959813147, BPP: 2.109375
11:40:19 INFO - test: File name: 120, MSE: 0.20100481528693986, BPP: 2.171875
11:40:20 INFO - test: File name: 121, MSE: 0.17840811720618122, BPP: 2.1015625
11:40:20 INFO - test: File name: 122, MSE: 0.18663391863597717, BPP: 2.1328125
11:40:20 INFO - test: File name: 123, MSE: 0.18764235302765056, BPP: 2.140625
11:40:20 INFO - test: File name: 124, MSE: 0.17327909644558057, BPP: 2.0078125
11:40:20 INFO - test: File name: 125, MSE: 0.17779359309682083, BPP: 2.0703125
11:40:21 INFO - test: File name: 126, MSE: 0.1839221317963776, BPP: 2.1875
11:40:21 INFO - test: File name: 127, MSE: 0.19142723221666466, BPP: 2.1640625
11:40:21 INFO - test: File name: 128, MSE: 0.1960707895066223, BPP: 2.2265625
11:40:21 INFO - test: File name: 129, MSE: 0.19235795306747713, BPP: 2.1484375
11:40:22 INFO - test: File name: 130, MSE: 0.16737501895859952, BPP: 2.140625
11:40:22 INFO - test: File name: 131, MSE: 0.1917829421545141, BPP: 2.1640625
11:40:22 INFO - test: File name: 132, MSE: 0.18556252205364387, BPP: 2.171875
11:40:22 INFO - test: File name: 133, MSE: 0.17078571711241736, BPP: 2.0546875
11:40:22 INFO - test: File name: 134, MSE: 0.18308706679618836, BPP: 2.1875
11:40:23 INFO - test: File name: 135, MSE: 0.18533373937011932, BPP: 2.1796875
11:40:23 INFO - test: File name: 136, MSE: 0.17185224520216272, BPP: 2.0078125
11:40:23 INFO - test: File name: 137, MSE: 0.18502066065201006, BPP: 2.171875
11:40:23 INFO - test: File name: 138, MSE: 0.19311685442144955, BPP: 2.1875
11:40:23 INFO - test: File name: 139, MSE: 0.18666001156816206, BPP: 2.234375
11:40:24 INFO - test: File name: 140, MSE: 0.18112345968643492, BPP: 2.1484375
11:40:24 INFO - test: File name: 141, MSE: 0.17430337623073308, BPP: 2.0859375
11:40:24 INFO - test: File name: 142, MSE: 0.18626340264576285, BPP: 2.2109375
11:40:24 INFO - test: File name: 143, MSE: 0.17940176377954437, BPP: 2.0859375
11:40:24 INFO - test: File name: 144, MSE: 0.18525925325692907, BPP: 2.1796875
11:40:25 INFO - test: File name: 145, MSE: 0.18863731245294751, BPP: 2.1796875
11:40:25 INFO - test: File name: 146, MSE: 0.1815755183689838, BPP: 2.1640625
11:40:25 INFO - test: File name: 147, MSE: 0.1605179568400948, BPP: 1.9609375
11:40:25 INFO - test: File name: 148, MSE: 0.19185544075574895, BPP: 2.109375
11:40:25 INFO - test: File name: 149, MSE: 0.2129777514126523, BPP: 2.3359375
11:40:26 INFO - test: File name: 150, MSE: 0.1793494320427375, BPP: 2.046875
11:40:26 INFO - test: File name: 151, MSE: 0.18868094654569276, BPP: 2.1640625
11:40:26 INFO - test: File name: 152, MSE: 0.19278960784288773, BPP: 2.234375
11:40:26 INFO - test: File name: 153, MSE: 0.14000642319432402, BPP: 1.7734375
11:40:26 INFO - test: File name: 154, MSE: 0.18584633511406148, BPP: 2.1484375
11:40:27 INFO - test: File name: 155, MSE: 0.1830918258844485, BPP: 2.203125
11:40:27 INFO - test: File name: 156, MSE: 0.19846054470728608, BPP: 2.171875
11:40:27 INFO - test: File name: 157, MSE: 0.18036277139510812, BPP: 2.1328125
11:40:27 INFO - test: File name: 158, MSE: 0.19203302221385413, BPP: 2.171875
11:40:27 INFO - test: File name: 159, MSE: 0.18041473845082223, BPP: 2.1484375
11:40:28 INFO - test: File name: 160, MSE: 0.18543462839442323, BPP: 2.09375
11:40:28 INFO - test: File name: 161, MSE: 0.1831067048730319, BPP: 2.1640625
11:40:28 INFO - test: File name: 162, MSE: 0.19151646968005584, BPP: 2.1953125
11:40:28 INFO - test: File name: 163, MSE: 0.18219037069132765, BPP: 2.125
11:40:29 INFO - test: File name: 164, MSE: 0.19846296983655276, BPP: 2.1796875
11:40:29 INFO - test: File name: 165, MSE: 0.19115005635213472, BPP: 2.1953125
11:40:29 INFO - test: File name: 166, MSE: 0.18191523704091703, BPP: 2.15625
11:40:29 INFO - test: File name: 167, MSE: 0.21114050630153003, BPP: 2.3046875
11:40:29 INFO - test: File name: 168, MSE: 0.1867375427684766, BPP: 2.140625
11:40:30 INFO - test: File name: 169, MSE: 0.15900792183942508, BPP: 1.9921875
11:40:30 INFO - test: File name: 170, MSE: 0.181999168394409, BPP: 2.140625
11:40:30 INFO - test: File name: 171, MSE: 0.1951976153322427, BPP: 2.1796875
11:40:30 INFO - test: File name: 172, MSE: 0.17870241484801483, BPP: 2.0859375
11:40:30 INFO - test: File name: 173, MSE: 0.20881469793047655, BPP: 2.21875
11:40:31 INFO - test: File name: 174, MSE: 0.18267001749854161, BPP: 2.125
11:40:31 INFO - test: File name: 175, MSE: 0.17059001100400348, BPP: 2.0625
11:40:31 INFO - test: File name: 176, MSE: 0.18115405643011503, BPP: 2.15625
11:40:31 INFO - test: File name: 177, MSE: 0.19110346834253839, BPP: 2.1875
11:40:31 INFO - test: File name: 178, MSE: 0.16882203706644539, BPP: 2.015625
11:40:32 INFO - test: File name: 179, MSE: 0.19978827562969975, BPP: 2.2109375
11:40:32 INFO - test: File name: 180, MSE: 0.18938472635249895, BPP: 2.1484375
11:40:32 INFO - test: File name: 181, MSE: 0.19382078010069284, BPP: 2.203125
11:40:32 INFO - test: File name: 182, MSE: 0.19116054093355075, BPP: 2.140625
11:40:32 INFO - test: File name: 183, MSE: 0.18326191314609808, BPP: 2.1640625
11:40:33 INFO - test: File name: 184, MSE: 0.19222768898115375, BPP: 2.171875
11:40:33 INFO - test: File name: 185, MSE: 0.1714491814244222, BPP: 2.0859375
11:40:33 INFO - test: File name: 186, MSE: 0.17526214105757654, BPP: 2.1171875
11:40:33 INFO - test: File name: 187, MSE: 0.18699148844739957, BPP: 2.2109375
11:40:34 INFO - test: File name: 188, MSE: 0.1945823800947515, BPP: 2.1796875
11:40:34 INFO - test: File name: 189, MSE: 0.18396649525130826, BPP: 2.171875
11:40:34 INFO - test: File name: 190, MSE: 0.18390001388810348, BPP: 2.1484375
11:40:34 INFO - test: File name: 191, MSE: 0.17286097133871026, BPP: 2.1328125
11:40:34 INFO - test: File name: 192, MSE: 0.1660044015396807, BPP: 1.96875
11:40:35 INFO - test: File name: 193, MSE: 0.2037815700632094, BPP: 2.2265625
11:40:35 INFO - test: File name: 194, MSE: 0.19206947208907255, BPP: 2.203125
11:40:35 INFO - test: File name: 195, MSE: 0.15595016204715195, BPP: 1.9375
11:40:35 INFO - test: File name: 196, MSE: 0.19076276503165482, BPP: 2.1640625
11:40:35 INFO - test: File name: 197, MSE: 0.17909072727555442, BPP: 2.0859375
11:40:36 INFO - test: File name: 198, MSE: 0.18621398835769787, BPP: 2.171875
11:40:36 INFO - test: File name: 199, MSE: 0.18579595442110075, BPP: 2.125
11:40:36 INFO - test: File name: 200, MSE: 0.19934026490728018, BPP: 2.171875
11:40:36 INFO - test: File name: 201, MSE: 0.18702950645131672, BPP: 2.15625
11:40:36 INFO - test: File name: 202, MSE: 0.19378923518617167, BPP: 2.171875
11:40:37 INFO - test: File name: 203, MSE: 0.18319853157218147, BPP: 2.1171875
11:40:37 INFO - test: File name: 204, MSE: 0.19454441679299825, BPP: 2.1953125
11:40:37 INFO - test: File name: 205, MSE: 0.17304907384634072, BPP: 2.09375
11:40:37 INFO - test: File name: 206, MSE: 0.17104132209031225, BPP: 2.0
11:40:37 INFO - test: File name: 207, MSE: 0.18344560301250648, BPP: 2.140625
11:40:38 INFO - test: File name: 208, MSE: 0.17424590249051874, BPP: 2.0703125
11:40:38 INFO - test: File name: 209, MSE: 0.16938495880118437, BPP: 2.0078125
11:40:38 INFO - test: File name: 210, MSE: 0.15414610291546815, BPP: 1.8984375
11:40:38 INFO - test: File name: 211, MSE: 0.17952021219846326, BPP: 2.1796875
11:40:38 INFO - test: File name: 212, MSE: 0.20321965120147542, BPP: 2.234375
11:40:39 INFO - test: File name: 213, MSE: 0.1749820659783594, BPP: 2.0546875
11:40:39 INFO - test: File name: 214, MSE: 0.1801698915651629, BPP: 2.09375
11:40:39 INFO - test: File name: 215, MSE: 0.16888075072237502, BPP: 2.0703125
11:40:39 INFO - test: File name: 216, MSE: 0.18946444563936987, BPP: 2.1796875
11:40:40 INFO - test: File name: 217, MSE: 0.1729293672776519, BPP: 2.0859375
11:40:40 INFO - test: File name: 218, MSE: 0.17881486426295834, BPP: 2.1328125
11:40:40 INFO - test: File name: 219, MSE: 0.18642867611698838, BPP: 2.1015625
11:40:40 INFO - test: File name: 220, MSE: 0.19449582303739188, BPP: 2.1484375
11:40:40 INFO - test: File name: 221, MSE: 0.17873689544533253, BPP: 2.1015625
11:40:41 INFO - test: File name: 222, MSE: 0.17548069443645, BPP: 2.1015625
11:40:41 INFO - test: File name: 223, MSE: 0.15197357912471668, BPP: 1.9375
11:40:41 INFO - test: File name: 224, MSE: 0.18236680340399072, BPP: 2.2109375
11:40:41 INFO - test: File name: 225, MSE: 0.18549824701105008, BPP: 2.171875
11:40:41 INFO - test: File name: 226, MSE: 0.18573182525094406, BPP: 2.109375
