iter,TEST BPP,TEST MSE,TEST loss,Best Loss,Best BPP,Best MSE
1,5.60609375,357.7528389554414,35782.14499707031,35782.14499707031,inf,357.7528389554414
2500,4.13946875,0.02171285294298165,6.540158372759819,6.540158372759819,inf,0.02171285294298165
5000,4.1726875,0.02132676497878904,5.735266932010651,5.735266932010651,inf,0.02132676497878904
7500,4.18725,0.01830099501232586,5.479743968844414,5.479743968844414,inf,0.01830099501232586
10000,4.28240625,0.019082728495578658,5.702349294066429,5.479743968844414,inf,0.01830099501232586
12500,4.3438125,0.014314939793362973,5.159805067420006,5.159805067420006,inf,0.014314939793362973
15000,4.394375,0.013140842061298886,5.151043090999126,5.151043090999126,inf,0.013140842061298886
17500,4.51784375,0.012451373517876478,5.1030321862101555,5.1030321862101555,inf,0.012451373517876478
20000,4.55109375,0.011078903212545453,5.108239676296711,5.1030321862101555,inf,0.011078903212545453
22500,4.56790625,0.010830018982489656,4.963143288850785,4.963143288850785,inf,0.010830018982489656
25000,4.656875,0.011313932874811382,5.066757127702236,4.963143288850785,inf,0.010830018982489656
27500,4.73746875,0.009858055131341161,4.734302443563938,4.734302443563938,inf,0.009858055131341161
30000,4.75190625,0.009781961318219342,4.9088806774616245,4.734302443563938,inf,0.009781961318219342
32500,4.837875,0.009451996517249286,4.82850419908762,4.734302443563938,inf,0.009451996517249286
35000,4.90190625,0.008983142595912196,4.633991682767868,4.633991682767868,inf,0.008983142595912196
37500,4.82203125,0.009202261327801841,4.7301569337248806,4.633991682767868,inf,0.008983142595912196
40000,4.92171875,0.009068406146463358,4.654355832278728,4.633991682767868,inf,0.008983142595912196
42500,4.85309375,0.009840291642676614,5.023390927195549,4.633991682767868,inf,0.008983142595912196
45000,4.8755625,0.009197906424923288,4.8496624194979665,4.633991682767868,inf,0.008983142595912196
47500,4.98475,0.008623443974431037,4.4596884083151815,4.4596884083151815,inf,0.008623443974431037
50000,5.0009375,0.008688494598290148,4.547301554918289,4.4596884083151815,inf,0.008623443974431037
52500,4.95940625,0.008739096001349044,4.603114213943481,4.4596884083151815,inf,0.008623443974431037
55000,4.91284375,0.009028945395414177,4.76094129884243,4.4596884083151815,inf,0.008623443974431037
57500,4.9135625,0.008971257582085265,4.816505598813295,4.4596884083151815,inf,0.008623443974431037
60000,4.97028125,0.00859784895164986,4.574378756612539,4.4596884083151815,inf,0.00859784895164986
62500,4.93525,0.00913427448664623,4.878433415532112,4.4596884083151815,inf,0.00859784895164986
65000,4.9243125,0.00896019179121644,4.781559795230627,4.4596884083151815,inf,0.00859784895164986
67500,4.89009375,0.008973689222776755,4.762350727200508,4.4596884083151815,inf,0.00859784895164986
70000,4.91709375,0.008765104346901543,4.7042180276811125,4.4596884083151815,inf,0.00859784895164986
72500,4.98428125,0.008772801358667317,4.706437032133341,4.4596884083151815,inf,0.00859784895164986
75000,4.91665625,0.009062563876502101,4.911259684056043,4.4596884083151815,inf,0.00859784895164986
77500,5.02034375,0.008686900216491615,4.650327831923962,4.4596884083151815,inf,0.00859784895164986
80000,4.92421875,0.009020365996816847,4.941525444328785,4.4596884083151815,inf,0.00859784895164986
82500,4.90596875,0.009320854339695104,5.122025437533855,4.4596884083151815,inf,0.00859784895164986
85000,4.89034375,0.0092181423158824,5.014297260850668,4.4596884083151815,inf,0.00859784895164986
87500,5.0105625,0.008628716212830628,4.684164391487837,4.4596884083151815,inf,0.00859784895164986
90000,4.980125,0.009085502068681996,4.89442412596941,4.4596884083151815,inf,0.00859784895164986
92500,4.9921875,0.0087331636768211,4.7502455170750615,4.4596884083151815,inf,0.00859784895164986
95000,5.00178125,0.008770835335130825,4.76002542501688,4.4596884083151815,inf,0.00859784895164986
97500,4.95971875,0.008969246842524236,4.879930326849222,4.4596884083151815,inf,0.00859784895164986
100000,4.980375,0.008884755128667344,4.77764528670907,4.4596884083151815,inf,0.00859784895164986
102500,5.05275,0.008719818222034423,4.789246718287468,4.4596884083151815,inf,0.00859784895164986
105000,4.890375,0.009157382290772204,4.994855924040079,4.4596884083151815,inf,0.00859784895164986
107500,4.98834375,0.009153657459589046,5.033635423988104,4.4596884083151815,inf,0.00859784895164986
110000,5.032125,0.008794317803788816,4.820515481412411,4.4596884083151815,inf,0.00859784895164986
112500,4.9861875,0.008979389763982002,4.923529085040093,4.4596884083151815,inf,0.00859784895164986
115000,4.9795,0.009017671341213592,4.978527523726225,4.4596884083151815,inf,0.00859784895164986
117500,5.18253125,0.008216510671282328,4.486610345721245,4.4596884083151815,inf,0.008216510671282328
120000,5.09221875,0.00856096837116057,4.688051703631878,4.4596884083151815,inf,0.008216510671282328
