iter,Test Loss,Test MSE
1,0.16386171629093588,3.0926743287282528
50000,0.002643261875229655,0.08167372693344806
100000,0.0034143381744797807,0.16667502727256142
150000,0.003540207182173617,0.18440704892137236
200000,0.003359492049610708,0.15446854308626723
250000,0.003509897482465021,0.1851256444708837
300000,0.0032985978052893186,0.16000138485642043
350000,0.003417787661834154,0.1718124642422488
400000,0.0032686755063477905,0.162096311599265
450000,0.0031549243517802095,0.14463628557841623
500000,0.003220945462351665,0.1527111212827533
550000,0.0029310631145490333,0.13569358609069918
600000,0.0028754514091997407,0.13933824517868484
650000,0.002658932583697606,0.12363619037533369
700000,0.0026167166345985606,0.1210899999417239
750000,0.0025807152608176695,0.11518870528963242
800000,0.0025737570649944246,0.12088101641716664
850000,0.0024927914641448296,0.10935344434403342
900000,0.002527992968185572,0.11511095458500005
950000,0.0025003231080190746,0.11076022236186304
1000000,0.002541572116839234,0.11291829074792249
1050000,0.0026249756514444018,0.1263808762796496
1100000,0.0025813149393652565,0.12234536879022244
1150000,0.0024889445641310885,0.10894033818035993
1200000,0.002552927673503291,0.11998055414318215
1250000,0.0025300200045458043,0.11476018415582405
1300000,0.00251830393524142,0.11604848184251855
1350000,0.0023602030579640996,0.10338265589831096
1400000,0.002490943377284566,0.1164744018934535
1450000,0.0023591149748826866,0.09771838455341399
1500000,0.0023844746936520097,0.10378547958372263
