dataset,transform,ortho_rel,m2m_median,participation_median,cond_pre,cond_post,diag_dom_post
gaussian,learned(λ=32),0.013579470323637889,227.26046752929688,8.0435209274292,13520513.0,5297682.5,25.523412704467773
gaussian,no_transform,0.0,1024.0,1.0,13520513.0,13520513.0,25.549137115478516
gaussian,rht,0.0,1.0,1024.0,13520513.0,3057391.75,25.523969650268555
gaussian,scaling,0.044363526142702524,1024.0,1.0,13520513.0,7230226.5,25.56209945678711
llama8b,learned(λ=32),0.011745236834377608,227.3527374267578,8.026949882507324,4543030.5,28655734489088.0,26.686662673950195
llama8b,no_transform,0.0,1024.0,1.0,4543030.5,4543030.5,26.570358276367188
llama8b,rht,0.0,1.0,1024.0,4543030.5,12516122.0,26.778385162353516
llama8b,scaling,0.06325463496108967,1024.0,1.0,4543030.5,3285039.25,26.574642181396484
