iter,Test BPP,Test MSE,Best Loss,Best MSE
1,8.0,2577434556773389.5,8.0,2577434556773389.5
10000,8.368,76600638879164.52,8.0,76600638879164.52
20000,8.494,12482195457249.06,8.0,12482195457249.06
30000,8.546,4309715966905.643,8.0,4309715966905.643
40000,8.676,1941125100789.7842,8.0,1941125100789.7842
50000,8.836,810063812043.4519,8.0,810063812043.4519
60000,8.984,567210384095.8147,8.0,567210384095.8147
70000,9.204,476180017255.1653,8.0,476180017255.1653
80000,9.332,397569688944.769,8.0,397569688944.769
90000,9.448,295508252398.26373,8.0,295508252398.26373
100000,9.512,757669928166.7052,8.0,295508252398.26373
110000,9.592,173390545002.7049,8.0,173390545002.7049
120000,9.642,718128977749.0981,8.0,173390545002.7049
130000,9.664,170454037839.86032,8.0,170454037839.86032
140000,9.732,176104721535.69427,8.0,170454037839.86032
150000,9.766,299490870171.2373,8.0,170454037839.86032
160000,9.75,1110166375945.4482,8.0,170454037839.86032
170000,9.792,378449610151.00775,8.0,170454037839.86032
180000,9.82,190456895385.0913,8.0,170454037839.86032
190000,9.822,587754978204.8594,8.0,170454037839.86032
200000,9.848,312923400141.4441,8.0,170454037839.86032
210000,9.864,1455571701542.599,8.0,170454037839.86032
220000,9.864,133384649397.81827,8.0,133384649397.81827
230000,9.864,33872142020.984158,8.0,33872142020.984158
240000,9.892,160019324103.2287,8.0,33872142020.984158
250000,9.888,331987092566.71063,8.0,33872142020.984158
260000,9.888,556066422189.6992,8.0,33872142020.984158
270000,9.892,620055696674.2161,8.0,33872142020.984158
280000,9.892,228209963432.74622,8.0,33872142020.984158
290000,9.902,79140962507.21617,8.0,33872142020.984158
300000,9.912,23006025366.94797,8.0,23006025366.94797
310000,9.908,285305606798.639,8.0,23006025366.94797
320000,9.916,69109873410.5028,8.0,23006025366.94797
330000,9.914,262594637458.79254,8.0,23006025366.94797
340000,9.932,776083856441.415,8.0,23006025366.94797
350000,9.918,298290776868.07135,8.0,23006025366.94797
360000,9.932,277011316938.6275,8.0,23006025366.94797
370000,9.928,285689155814.1283,8.0,23006025366.94797
380000,9.922,89106086195.09442,8.0,23006025366.94797
390000,9.938,303480225275.3542,8.0,23006025366.94797
400000,9.938,407552940914.1133,8.0,23006025366.94797
410000,9.94,312539491490.2406,8.0,23006025366.94797
420000,9.938,407231536482.6785,8.0,23006025366.94797
430000,9.952,396751308530.7767,8.0,23006025366.94797
440000,9.946,192601535196.098,8.0,23006025366.94797
450000,9.94,176823209744.9654,8.0,23006025366.94797
460000,9.948,198455901339.15057,8.0,23006025366.94797
470000,9.948,533506582827.67474,8.0,23006025366.94797
480000,9.95,77674474353.71664,8.0,23006025366.94797
490000,9.952,198575373533.78952,8.0,23006025366.94797
500000,9.952,589098854436.1096,8.0,23006025366.94797
510000,9.946,250152226421.7696,8.0,23006025366.94797
520000,9.962,150824745085.53604,8.0,23006025366.94797
530000,9.962,92690493630.1229,8.0,23006025366.94797
540000,9.96,636407336825.9899,8.0,23006025366.94797
550000,9.97,437374593884.3907,8.0,23006025366.94797
560000,9.972,541621030237.58124,8.0,23006025366.94797
570000,9.968,186291615582.2846,8.0,23006025366.94797
580000,9.966,1263873203493.849,8.0,23006025366.94797
590000,9.966,228891932833.82632,8.0,23006025366.94797
600000,9.97,308511612521.69763,8.0,23006025366.94797
610000,9.972,186278710533.20465,8.0,23006025366.94797
620000,9.968,280099975237.4814,8.0,23006025366.94797
630000,9.97,224849322826.167,8.0,23006025366.94797
640000,9.972,80850986277.65404,8.0,23006025366.94797
650000,9.976,385974916316.2978,8.0,23006025366.94797
660000,9.976,53932517149.50008,8.0,23006025366.94797
670000,9.976,1305198057529.6252,8.0,23006025366.94797
680000,9.976,299537368721.80975,8.0,23006025366.94797
690000,9.978,111199854440.24838,8.0,23006025366.94797
700000,9.976,63420443492.804306,8.0,23006025366.94797
710000,9.98,306206825402.02594,8.0,23006025366.94797
720000,9.982,33904835377.44192,8.0,23006025366.94797
730000,9.978,706973626806.3656,8.0,23006025366.94797
740000,9.98,175513540508.28455,8.0,23006025366.94797
750000,9.982,247361233367.45203,8.0,23006025366.94797
760000,9.982,159643747717.33405,8.0,23006025366.94797
770000,9.988,544095789679.054,8.0,23006025366.94797
780000,9.998,639134490070.4094,8.0,23006025366.94797
790000,10.002,713775194656.4686,8.0,23006025366.94797
800000,10.002,381248316115.69836,8.0,23006025366.94797
810000,10.0,227283420019.70248,8.0,23006025366.94797
820000,10.004,510874832890.75885,8.0,23006025366.94797
830000,10.0,268001204730.28027,8.0,23006025366.94797
840000,10.0,96797658603.20007,8.0,23006025366.94797
850000,10.002,800660805217.3506,8.0,23006025366.94797
860000,10.004,354897210483.3278,8.0,23006025366.94797
870000,10.002,158935545288.8376,8.0,23006025366.94797
880000,10.006,215796571153.2209,8.0,23006025366.94797
890000,10.006,383823234806.6303,8.0,23006025366.94797
900000,10.008,893094510202.3667,8.0,23006025366.94797
