iter,TEST BPP,TEST MSE,TEST loss,Best Loss,Best BPP,Best MSE
1,5.40625,2.067165219865854,2072.5462722167968,2072.5462722167968,5.40625,2.067165219865854
10000,5.31721875,0.0014014640738641065,6.539723408222199,6.539723408222199,5.31721875,0.0014014640738641065
20000,5.3785625,0.001074136542595328,6.392622979640961,6.392622979640961,5.31721875,0.001074136542595328
30000,5.397015625,0.0009998961699866605,6.362896693706513,6.362896693706513,5.31721875,0.0009998961699866605
40000,5.41640625,0.0009201909472674159,6.309309788227082,6.309309788227082,5.31721875,0.0009201909472674159
50000,5.4285625,0.0008654695685339251,6.268610705375671,6.268610705375671,5.31721875,0.0008654695685339251
60000,5.451984375,0.0008005779074885892,6.227993756771087,6.227993756771087,5.31721875,0.0008005779074885892
70000,5.450359375,0.0008135632984466938,6.239105657577515,6.227993756771087,5.31721875,0.0008005779074885892
80000,5.455953125,0.0007809825090238927,6.21116108751297,6.21116108751297,5.31721875,0.0007809825090238927
90000,5.4633125,0.0008120548191260037,6.24776660490036,6.21116108751297,5.31721875,0.0007809825090238927
100000,5.46659375,0.0007968331754104268,6.235696468353272,6.21116108751297,5.31721875,0.0007809825090238927
110000,5.470734375,0.0007850982161468031,6.226585720062256,6.21116108751297,5.31721875,0.0007809825090238927
120000,5.473640625,0.0007717099047830829,6.214860816955566,6.21116108751297,5.31721875,0.0007717099047830829
130000,5.47465625,0.0007616084182568703,6.204822925567627,6.204822925567627,5.31721875,0.0007616084182568703
140000,5.47828125,0.0008105182737176571,6.255380366325379,6.204822925567627,5.31721875,0.0007616084182568703
150000,5.4791875,0.000777183017078367,6.222541075706482,6.204822925567627,5.31721875,0.0007616084182568703
