module_name,module_type,original_shape,matrix_shape,padded_shape,used_hessian,hessian_input_dim,hessian_sample_count,hessian_batch_count,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",True,147,6422528,16,0,13,9408,320.0,26356.375,2.54261474609375,2.80148543792517,,,,0.001371407532133162,0.2855434715747833,0.08153446763753891,2.194
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,92780.765625,2.485589345296224,2.516839345296224,,,,0.0001738208084134385,0.2464957982301712,0.06096150353550911,4.8873
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,97567.640625,2.615441640218099,2.646691640218099,,,,0.0001341579045401886,0.2562057077884674,0.06566496938467026,4.932
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,96318.4609375,2.581555472479926,2.612805472479926,,,,0.00021410529734566808,0.28751856088638306,0.08285203576087952,4.2358
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,97262.53125,2.6071650187174478,2.6384150187174478,,,,0.0001117197098210454,0.24025683104991913,0.05776921287178993,1.2492
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",True,576,401408,16,0,0,73728,1152.0,195181.421875,2.6316924624972873,2.6473174624972873,,,,0.00014423442189581692,0.28863808512687683,0.08341259509325027,1.6779
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,383948.125,2.588189866807726,2.603814866807726,,,,5.8892830566037446e-05,0.22547641396522522,0.050907667726278305,7.8675
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",True,64,401408,16,0,0,8192,128.0,20122.91015625,2.4407849311828613,2.4564099311828613,,,,0.00027063293964602053,0.23280517756938934,0.054264433681964874,0.5848
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,385448.125,2.5983623928493924,2.6139873928493924,,,,6.376150122378021e-05,0.2334509938955307,0.054608192294836044,3.5709
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,391200.5625,2.637373606363932,2.652998606363932,,,,4.439833355718292e-05,0.22153209149837494,0.04916417598724365,7.8778
layer3.0.conv1,Conv2d,"[256, 128, 3, 3]","[256, 1152]","[256, 1152]",True,1152,100352,16,0,0,294912,2304.0,772853.0625,2.6128101348876953,2.6206226348876953,,,,4.3868451029993594e-05,0.22776640951633453,0.05199241265654564,6.6438
layer3.0.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",True,2304,100352,16,0,0,589824,4608.0,1552761.875,2.6247726016574435,2.6325851016574435,,,,3.189433482475579e-05,0.22537481784820557,0.05084347352385521,27.5027
layer3.0.downsample.0,Conv2d,"[256, 128, 1, 1]","[256, 128]","[256, 128]",True,128,100352,16,0,0,32768,256.0,84978.59375,2.5855283737182617,2.5933408737182617,,,,5.1196726417401806e-05,0.21683378517627716,0.04717113450169563,3.0833
layer3.1.conv1,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",True,2304,100352,16,0,0,589824,4608.0,1557226.625,2.632342232598199,2.640154732598199,,,,2.847899668267928e-05,0.23799987137317657,0.056956518441438675,20.5964
layer3.1.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",True,2304,100352,16,0,0,589824,4608.0,1567993.375,2.650596406724718,2.658408906724718,,,,2.2343299860949628e-05,0.22812668979167938,0.05229462683200836,34.0059
layer4.0.conv1,Conv2d,"[512, 256, 3, 3]","[512, 2304]","[512, 2304]",True,2304,25088,16,0,0,1179648,4608.0,3152032.75,2.6681050194634333,2.6720112694634333,,,,2.2826267013442703e-05,0.23966382443904877,0.05779441073536873,35.2962
layer4.0.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",True,4608,25088,16,0,0,2359296,9216.0,6287127.5,2.660925759209527,2.664832009209527,,,,1.5577485100948252e-05,0.22717414796352386,0.0518990159034729,171.4669
layer4.0.downsample.0,Conv2d,"[512, 256, 1, 1]","[512, 256]","[512, 256]",True,256,25088,16,0,0,131072,512.0,341553.65625,2.6019413471221924,2.6058475971221924,,,,5.077842797618359e-05,0.2172960340976715,0.04724850505590439,55.0569
layer4.1.conv1,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",True,4608,25088,16,0,0,2359296,9216.0,6325190.5,2.6770589616563587,2.6809652116563587,,,,1.7067493899958208e-05,0.2298768162727356,0.05369238182902336,254.4269
layer4.1.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",True,4608,25088,16,0,0,2359296,9216.0,6266567.0,2.6522110833062067,2.6561173333062067,,,,9.6567318905727e-06,0.23538745939731598,0.05541050061583519,514.0533
fc,Linear,"[1000, 512]","[1000, 512]","[1008, 512]",True,512,512,16,8,0,512000,1024.0,1376290.375,2.6647491455078125,2.688067138671875,,,,0.000665989937260747,0.3715403974056244,0.13805308938026428,133.1869
