iter,Test Loss,Test MSE,Best Loss,Best MSE
1,2.1151738792490216,2.617263113528939,2.1151738792490216,2.617263113528939
10000,0.33805646687414265,0.28269782070135285,0.33805646687414265,0.28269782070135285
20000,0.05901960144646,0.07927659881178561,0.05901960144646,0.07927659881178561
30000,0.01232461201446131,0.021383319725841503,0.01232461201446131,0.021383319725841503
40000,0.012120158998775879,0.017796362684975916,0.012120158998775879,0.017796362684975916
50000,0.012587015580629668,0.016309619290209708,0.012120158998775879,0.016309619290209708
60000,0.012497988819755846,0.017522585290152423,0.012120158998775879,0.016309619290209708
70000,0.012211194808391156,0.01466403624764055,0.012120158998775879,0.01466403624764055
80000,0.010457515147703817,0.013880761274867022,0.010457515147703817,0.013880761274867022
90000,0.010438278302550315,0.013624625354775101,0.010438278302550315,0.013624625354775101
100000,0.011103074741848105,0.014350838521412718,0.010438278302550315,0.013624625354775101
110000,0.010230189179681475,0.013569826249904668,0.010230189179681475,0.013569826249904668
120000,0.01033577389200218,0.014218293785869167,0.010230189179681475,0.013569826249904668
130000,0.011810383040225133,0.014459684669697187,0.010230189179681475,0.013569826249904668
140000,0.01044439147655794,0.015177737158515017,0.010230189179681475,0.013569826249904668
150000,0.010837702501303283,0.014788475374876202,0.010230189179681475,0.013569826249904668
160000,0.00975560787411814,0.014061989481596962,0.00975560787411814,0.013569826249904668
170000,0.009726286030578193,0.01424798479597226,0.009726286030578193,0.013569826249904668
180000,0.009711456695120432,0.014055775746461363,0.009711456695120432,0.013569826249904668
190000,0.009681886500882683,0.014261689125434785,0.009681886500882683,0.013569826249904668
200000,0.009600822994889313,0.013262355583073948,0.009600822994889313,0.013262355583073948
210000,0.010122169027250492,0.013702555127783844,0.009600822994889313,0.013262355583073948
220000,0.010193335278141603,0.015309480989195972,0.009600822994889313,0.013262355583073948
230000,0.00936433735008177,0.014196583121765973,0.00936433735008177,0.013262355583073948
240000,0.009615717848239001,0.015260931636756467,0.00936433735008177,0.013262355583073948
250000,0.00907837451249543,0.014597229741074134,0.00907837451249543,0.013262355583073948
260000,0.010516841662378283,0.016157806967285023,0.00907837451249543,0.013262355583073948
270000,0.00925123687402811,0.01483894695750619,0.00907837451249543,0.013262355583073948
280000,0.010221625782025512,0.014602189500754266,0.00907837451249543,0.013262355583073948
290000,0.009965810567184236,0.014149935446089364,0.00907837451249543,0.013262355583073948
300000,0.009536322550731712,0.014790127852782012,0.00907837451249543,0.013262355583073948
310000,0.009789358367248497,0.01873752374304601,0.00907837451249543,0.013262355583073948
320000,0.009835908270993968,0.014458990876992523,0.00907837451249543,0.013262355583073948
330000,0.009753482927189907,0.014824020849952399,0.00907837451249543,0.013262355583073948
340000,0.00964006294150022,0.015997088731963958,0.00907837451249543,0.013262355583073948
350000,0.009473301999969408,0.01453863903018378,0.00907837451249543,0.013262355583073948
360000,0.01046794212248642,0.015227150728319216,0.00907837451249543,0.013262355583073948
370000,0.009572747161961161,0.014512253439600109,0.00907837451249543,0.013262355583073948
380000,0.009376190561084513,0.015140122324790539,0.00907837451249543,0.013262355583073948
390000,0.009247465610023937,0.015862091599008456,0.00907837451249543,0.013262355583073948
400000,0.009295677726739086,0.01481650879433731,0.00907837451249543,0.013262355583073948
410000,0.010643018874368863,0.016818944322140608,0.00907837451249543,0.013262355583073948
420000,0.009700202588661342,0.014932221128041136,0.00907837451249543,0.013262355583073948
430000,0.009720232017232775,0.015314269953394681,0.00907837451249543,0.013262355583073948
