qtip_idx,nwc_idx,qtip_key,nwc_key,qtip_bpp,nwc_bpp,abs_bpp_gap
0,0,2,30,2.0,2.3015328621482833,0.30153286214828334
1,2,3,75,3.0,2.9666457464202094,0.033354253579790605
2,4,4,300,4.0,3.954826640797994,0.04517335920200605
3,5,5,1000,5.0,4.77782450354873,0.22217549645127033
4,6,6,10000,6.0,5.9810235201596065,0.018976479840393523
