task,n_pairs,qtip_mean,nwc_mean,mean_diff_nwc_minus_qtip,t_stat,p_value
arc_easy,5,0.7932659932659933,0.7867845117845118,-0.006481481481481466,-1.5258747446959962,0.20173888362442338
hellaswag,5,0.582832105158335,0.5802230631348337,-0.0026090420235012957,-1.2283559382304716,0.2866449573612685
arc_challenge,5,0.48634812286689416,0.4810580204778157,-0.00529010238907851,-0.9678053386344194,0.3879463599926495
boolq,5,0.805993883792049,0.8108256880733945,0.0048318042813455305,0.8136982342767412,0.4614800649161066
winogrande,5,0.727229676400947,0.730544593528019,0.0033149171270718146,0.7340234808046899,0.5036395468829664
piqa,5,0.7855277475516866,0.7874863982589771,0.00195865070729051,0.7079266154110956,0.5180606233115186
