iter,Test Loss,Test MSE
1,0.15832520612701773,2.999426185321903
50000,0.0007122726148008951,0.017373958030847864
100000,0.0007219836902404495,0.017605480526678846
150000,0.0007435327861931001,0.017368831891827075
200000,0.0006785461116378429,0.015386853647946546
250000,0.0006987861075867841,0.01706990959958171
300000,0.0006816967811300856,0.01632322188926557
350000,0.000676671981720574,0.015872667761359375
400000,0.0007700231367634842,0.02382713850805975
450000,0.0007438366221358592,0.019387616374230077
500000,0.0008369013698174968,0.029579901865107533
550000,0.0008106110348162474,0.029253149669733025
600000,0.0008209233947382017,0.029201249043823
650000,0.0008228722327621653,0.029238840742287883
700000,0.0008008636659687909,0.026252758232810376
750000,0.0007825521363956795,0.02268606964771469
800000,0.0008289118645479903,0.026861839048691646
850000,0.001342400035035098,0.03173234003361956
900000,0.0015621095059032085,0.08129798129039861
950000,0.0019107218175049639,0.05977898191746107
1000000,0.0008629732244153274,0.02646111562571328
1050000,0.0008651800122243002,0.0297986977760549
1100000,0.0013486057656336924,0.025997791327642267
1150000,0.0014786396387862623,0.03785004659027114
1200000,0.0008396725424936449,0.02619959294895718
1250000,0.0009870030539605068,0.03872664550435822
1300000,0.0008555077897362935,0.02943815696507114
1350000,0.001055676055373624,0.04491752887300734
1400000,0.0009471136808861047,0.03659405026842542
1450000,0.0008049315468488203,0.02439438596550213
1500000,0.0009491380969047895,0.033938113186409526
