iter,Test BPP,Test MSE,Best Loss,Best MSE
1380000,6.394,0.007272007617300773,6.372,0.007272007617300773
1390000,6.394,0.007271424380431822,6.372,0.007271424380431822
1400000,6.402,0.007285757606501252,6.372,0.007271424380431822
1410000,6.394,0.007272002753529153,6.372,0.007271424380431822
1420000,6.394,0.007283390181145888,6.372,0.007271424380431822
1430000,6.388,0.007286681525929277,6.372,0.007271424380431822
1440000,6.396,0.007290954609307697,6.372,0.007271424380431822
1450000,6.392,0.007285815527245798,6.372,0.007271424380431822
1460000,6.398,0.007283575617372957,6.372,0.007271424380431822
1470000,6.394,0.0072753527791685185,6.372,0.007271424380431822
1480000,6.396,0.007273864713836042,6.372,0.007271424380431822
1490000,6.394,0.007276163211678449,6.372,0.007271424380431822
1500000,6.398,0.007286544266969781,6.372,0.007271424380431822
