run,dataset,transform,lmbda,iter,bpp,mse_normed,recon_loss,loss,ckpt
llama8b_affine-affine_compressai_M16_lmbda128,llama8b,affine,128.0,20000,3.6485941410064697,0.008990204893043587,0.008990204893052578,4.79934024810791,checkpoint/rd_sweep/llama8b_affine-affine_compressai_M16_lmbda128/best.pth.tar
llama8b_affine-affine_compressai_M16_lmbda256,llama8b,affine,256.0,20000,3.699005365371704,0.008385281078509051,0.008385281078517437,5.845637321472168,checkpoint/rd_sweep/llama8b_affine-affine_compressai_M16_lmbda256/best.pth.tar
llama8b_affine-affine_compressai_M16_lmbda1024,llama8b,affine,1024.0,20000,3.7617604732513428,0.007686717435709895,0.007686717435717583,11.632959365844727,checkpoint/rd_sweep/llama8b_affine-affine_compressai_M16_lmbda1024/best.pth.tar
llama8b_affine-affine_compressai_M16_lmbda8192,llama8b,affine,8192.0,20000,3.7620198726654053,0.007683986797921125,0.00768398679792881,66.70923614501953,checkpoint/rd_sweep/llama8b_affine-affine_compressai_M16_lmbda8192/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda32,llama8b,linear,32.0,20000,2.986710548400879,0.022547727450705865,0.022547727450728416,3.708237886428833,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda32/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda64,llama8b,linear,64.0,20000,3.486793041229248,0.011280789971340341,0.011280789971351624,4.208763599395752,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda64/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda128,llama8b,linear,128.0,20000,3.9866018295288086,0.005634035449469416,0.00563403544947505,4.70775842666626,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda128/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda256,llama8b,linear,256.0,20000,4.425871849060059,0.003068043617528589,0.0030680436175316572,5.2112908363342285,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda256/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda1024,llama8b,linear,1024.0,20000,4.7237091064453125,0.00207899371161849,0.0020789937116205692,6.852598667144775,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda1024/best.pth.tar
llama8b_linear-linear_compressai_M16_lmbda8192,llama8b,linear,8192.0,20000,4.766860485076904,0.0019860623870025084,0.0019860623870044947,21.036684036254883,checkpoint/rd_sweep/llama8b_linear-linear_compressai_M16_lmbda8192/best.pth.tar
