module_name,module_type,original_shape,matrix_shape,padded_shape,used_hessian,hessian_input_dim,hessian_sample_count,hessian_batch_count,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 147]",False,,,,0,0,9408,294.0,22659.828125,2.377320166347789,2.408570166347789,,,,0.000507159682456404,0.17364461719989777,0.030149254947900772,0.6424
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",False,,,,0,0,36864,1152.0,87663.3984375,2.3467718760172525,2.3780218760172525,,,,9.152240090770647e-05,0.17886361479759216,0.032098252326250076,0.3257
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",False,,,,0,0,36864,1152.0,95671.71875,2.564011467827691,2.595261467827691,,,,7.344086770899594e-05,0.1895611733198166,0.03594638779759407,0.237
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",False,,,,0,0,36864,1152.0,92479.7265625,2.4774231380886502,2.5086731380886502,,,,9.265682456316426e-05,0.18914327025413513,0.035855285823345184,0.1504
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",False,,,,0,0,36864,1152.0,96134.8359375,2.5765743255615234,2.6078243255615234,,,,6.987599772401154e-05,0.19000937044620514,0.03613222390413284,0.1569
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",False,,,,0,0,73728,1152.0,189833.5,2.5591566297743054,2.5747816297743054,,,,6.228914571693167e-05,0.18968164920806885,0.0360226035118103,0.2154
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",False,,,,0,0,147456,2304.0,376359.34375,2.536725150214301,2.552350150214301,,,,4.158367300988175e-05,0.1894661784172058,0.035945430397987366,0.1706
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",False,,,,0,0,8192,128.0,19731.03515625,2.392948627471924,2.408573627471924,,,,0.0001778047881089151,0.18870094418525696,0.035651516169309616,0.1733
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",False,,,,0,0,147456,2304.0,378359.34375,2.550288518269857,2.565913518269857,,,,4.215695662423968e-05,0.1898239552974701,0.03610510379076004,0.2092
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",False,,,,0,0,147456,2304.0,388627.03125,2.6199207305908203,2.6355457305908203,,,,3.250877125537954e-05,0.18956288695335388,0.035998351871967316,0.1972
layer3.0.conv1,Conv2d,"[256, 128, 3, 3]","[256, 1152]","[256, 1152]",False,,,,0,0,294912,2304.0,760548.625,2.5710877312554254,2.5789002312554254,,,,3.0398972739931196e-05,0.18960213661193848,0.036028530448675156,0.271
layer3.0.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",False,,,,0,0,589824,4608.0,1535586.5,2.595653110080295,2.603465610080295,,,,2.2603959223488346e-05,0.18973226845264435,0.03603347763419151,0.7374
layer3.0.downsample.0,Conv2d,"[256, 128, 1, 1]","[256, 128]","[256, 128]",False,,,,0,0,32768,256.0,84769.0625,2.579133987426758,2.586946487426758,,,,3.8557449443032965e-05,0.18817412853240967,0.03552568703889847,0.4327
layer3.1.conv1,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",False,,,,0,0,589824,4608.0,1547696.5,2.6161846584743924,2.6239971584743924,,,,1.802806946216151e-05,0.18936051428318024,0.036055199801921844,0.5108
layer3.1.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",False,,,,0,0,589824,4608.0,1559526.625,2.636241700914171,2.644054200914171,,,,1.5373561836895533e-05,0.18923000991344452,0.0359819121658802,0.6939
layer4.0.conv1,Conv2d,"[512, 256, 3, 3]","[512, 2304]","[512, 2304]",False,,,,0,0,1179648,4608.0,3143410.0,2.660795423719618,2.664701673719618,,,,1.4262011973187327e-05,0.18944202363491058,0.03611035645008087,0.3605
layer4.0.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",False,,,,0,0,2359296,9216.0,6321609.0,2.6755409240722656,2.6794471740722656,,,,1.0829608982021455e-05,0.18941685557365417,0.03608066588640213,0.565
layer4.0.downsample.0,Conv2d,"[512, 256, 1, 1]","[512, 256]","[512, 256]",False,,,,0,0,131072,512.0,339817.8125,2.588697910308838,2.592604160308838,,,,3.860642027575523e-05,0.1894705891609192,0.035922642797231674,0.5578
layer4.1.conv1,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",False,,,,0,0,2359296,9216.0,6373627.0,2.6975890265570746,2.7014952765570746,,,,1.1472749974927865e-05,0.18847259879112244,0.03609195724129677,0.6489
layer4.1.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",False,,,,0,0,2359296,9216.0,6293338.0,2.663558112250434,2.667464362250434,,,,6.294416380114853e-06,0.19004257023334503,0.03611747547984123,0.6891
fc,Linear,"[1000, 512]","[1000, 512]","[1008, 512]",False,,,,8,0,512000,1024.0,1332669.625,2.580228533063616,2.602870361328125,,,,0.00017177888366859406,0.18869386613368988,0.035608552396297455,0.7537
