iter,TEST BPP,TEST MSE,TEST loss,Best Loss,Best BPP,Best MSE
1,5.5780625,155.92435526757004,155931.2492109375,155931.2492109375,5.5780625,155.92435526757004
10000,5.81059375,0.007116153393668388,12.656792243480682,12.656792243480682,5.5780625,0.007116153393668388
20000,5.654375,0.0034438182396731958,8.84798036646843,8.84798036646843,5.5780625,0.0034438182396731958
30000,5.663890625,0.001680117157229508,7.202924932003021,7.202924932003021,5.5780625,0.001680117157229508
40000,5.76890625,0.0014168791136625202,7.098977881908417,7.098977881908417,5.5780625,0.0014168791136625202
50000,5.83246875,0.0014239081463082947,7.067759976148605,7.067759976148605,5.5780625,0.0014168791136625202
60000,5.821109375,0.0013525104431955028,7.08761698204279,7.067759976148605,5.5780625,0.0013525104431955028
70000,5.9021875,0.001141606690707564,6.941075200676918,6.941075200676918,5.5780625,0.001141606690707564
80000,5.870296875,0.0013159505887601485,7.322826228737831,6.941075200676918,5.5780625,0.001141606690707564
90000,5.947015625,0.0011505126969978644,6.896526563465596,6.896526563465596,5.5780625,0.001141606690707564
100000,5.941015625,0.0011559545207246052,7.033187863886356,6.896526563465596,5.5780625,0.001141606690707564
110000,5.989265625,0.00121795754748372,6.803881256937981,6.803881256937981,5.5780625,0.001141606690707564
120000,5.96475,0.001278259519043575,7.142301113903523,6.803881256937981,5.5780625,0.001141606690707564
130000,6.012515625,0.0011185834310673756,6.842166406393051,6.803881256937981,5.5780625,0.0011185834310673756
140000,6.05165625,0.0010638673826684599,6.596486517012119,6.596486517012119,5.5780625,0.0010638673826684599
150000,5.99396875,0.0011627348664786119,6.769333557784558,6.596486517012119,5.5780625,0.0010638673826684599
160000,6.00878125,0.0011047910135543683,6.608931281268597,6.596486517012119,5.5780625,0.0010638673826684599
170000,5.974625,0.0011504138899756388,7.163026714742184,6.596486517012119,5.5780625,0.0010638673826684599
