iter,Test BPP,Test MSE,TEST loss,Best Loss,Best BPP,Best MSE
10000,5.68575,0.005671349089806623,62.57522194671631,62.57522194671631,5.68575,0.005671349089806623
20000,5.9565,0.0027822877815427333,33.86451721382141,33.86451721382141,5.68575,0.0027822877815427333
30000,6.13,0.001680386582032279,22.860321385383607,22.860321385383607,5.68575,0.001680386582032279
40000,6.264,0.0012102967481523272,18.51751805305481,18.51751805305481,5.68575,0.0012102967481523272
50000,6.3655,0.0009589153699946601,16.29459719991684,16.29459719991684,5.68575,0.0009589153699946601
60000,6.432,0.0008305391810800668,15.03441293144226,15.03441293144226,5.68575,0.0008305391810800668
70000,6.49125,0.0006920541732457354,13.839897654533386,13.839897654533386,5.68575,0.0006920541732457354
80000,6.56825,0.0006554324749342146,13.599918303012847,13.599918303012847,5.68575,0.0006554324749342146
90000,6.61675,0.000547679353710645,12.809961696863175,12.809961696863175,5.68575,0.000547679353710645
100000,6.67525,0.0005067984743369501,12.179269785642624,12.179269785642624,5.68575,0.0005067984743369501
110000,6.7155,0.0005003664738568469,12.36639415717125,12.179269785642624,5.68575,0.0005003664738568469
120000,6.76525,0.0004318071988860052,11.321135863542557,11.321135863542557,5.68575,0.0004318071988860052
130000,6.79325,0.00039754255618291816,11.335012055397033,11.321135863542557,5.68575,0.00039754255618291816
140000,6.82625,0.00038122232077527203,11.036022036075591,11.036022036075591,5.68575,0.00038122232077527203
150000,6.8655,0.00034786923763233227,10.499445111989974,10.499445111989974,5.68575,0.00034786923763233227
160000,6.89575,0.00034296706018870646,10.566538922786712,10.499445111989974,5.68575,0.00034296706018870646
170000,6.9495,0.0003131975499203627,10.139177368879318,10.139177368879318,5.68575,0.0003131975499203627
180000,6.951,0.0002994419314242549,10.678829483270645,10.139177368879318,5.68575,0.0002994419314242549
190000,6.99175,0.00029449612062828844,10.38273011302948,10.139177368879318,5.68575,0.00029449612062828844
200000,7.05075,0.00027596795644108693,9.582232051610946,9.582232051610946,5.68575,0.00027596795644108693
210000,7.075,0.00025091394177946714,9.4401750344038,9.4401750344038,5.68575,0.00025091394177946714
220000,7.09625,0.00023982099173711581,9.543132807731629,9.4401750344038,5.68575,0.00023982099173711581
230000,7.11125,0.00023041916349217338,9.80643429005146,9.4401750344038,5.68575,0.00023041916349217338
240000,7.14025,0.00021949045774396063,9.745558233618736,9.4401750344038,5.68575,0.00021949045774396063
250000,7.1795,0.0002118521642005934,9.19807251381874,9.19807251381874,5.68575,0.0002118521642005934
260000,7.19425,0.00020631184761675333,9.712181950330734,9.19807251381874,5.68575,0.00020631184761675333
270000,7.2285,0.0001957872702127841,9.467151647567748,9.19807251381874,5.68575,0.0001957872702127841
280000,7.252,0.00018670947750878275,9.407846025347709,9.19807251381874,5.68575,0.00018670947750878275
290000,7.28025,0.00018061866965409258,9.252365980148316,9.19807251381874,5.68575,0.00018061866965409258
300000,7.32975,0.00017823039788937507,9.109147109508514,9.109147109508514,5.68575,0.00017823039788937507
310000,7.33375,0.0001704615439388347,9.521709354758263,9.109147109508514,5.68575,0.0001704615439388347
320000,7.384,0.00016919389956129843,9.153201840043067,9.109147109508514,5.68575,0.00016919389956129843
330000,7.39025,0.00016191793970901836,9.392164432287217,9.109147109508514,5.68575,0.00016191793970901836
340000,7.40025,0.00016162848002136665,9.933869843840599,9.109147109508514,5.68575,0.00016162848002136665
350000,7.425,0.0001612200697759208,9.590107711195946,9.109147109508514,5.68575,0.0001612200697759208
360000,7.5035,0.00015064792180978905,9.061907060503959,9.061907060503959,5.68575,0.00015064792180978905
370000,7.49325,0.00014869102409901332,9.393348884940147,9.061907060503959,5.68575,0.00014869102409901332
380000,7.563,0.00014373232839884432,9.02761213004589,9.02761213004589,5.68575,0.00014373232839884432
390000,7.585,0.00014228532140750822,8.927185020804405,8.927185020804405,5.68575,0.00014228532140750822
400000,7.607,0.0001420707454554444,9.235427015304566,8.927185020804405,5.68575,0.0001420707454554444
410000,7.62525,0.00013723529181072251,9.037062475681305,8.927185020804405,5.68575,0.00013723529181072251
420000,7.66075,0.0001396273468912377,9.164555740892887,8.927185020804405,5.68575,0.00013723529181072251
430000,7.65225,0.00013630578735182385,9.333482514560222,8.927185020804405,5.68575,0.00013630578735182385
440000,7.7025,0.00013436083042934685,9.493118912398815,8.927185020804405,5.68575,0.00013436083042934685
450000,7.73825,0.00013442513388570247,9.257275168597698,8.927185020804405,5.68575,0.00013436083042934685
460000,7.76,0.00013160323220234038,9.16638422203064,8.927185020804405,5.68575,0.00013160323220234038
470000,7.78,0.0001320615813698366,9.335751043975353,8.927185020804405,5.68575,0.00013160323220234038
480000,7.879,0.00012576990060714086,8.522441432535649,8.522441432535649,5.68575,0.00012576990060714086
490000,7.86425,0.00012355947144011427,8.752349794566632,8.522441432535649,5.68575,0.00012355947144011427
500000,7.874,0.00012634279179881986,9.02950597089529,8.522441432535649,5.68575,0.00012355947144011427
510000,7.894,0.00012362484913028596,8.841236845254898,8.522441432535649,5.68575,0.00012355947144011427
520000,7.87325,0.00012637725867637722,9.372283969759941,8.522441432535649,5.68575,0.00012355947144011427
530000,7.9795,0.00012194232846298503,8.732208351433277,8.522441432535649,5.68575,0.00012194232846298503
540000,7.9935,0.00011920811972005305,8.54876449340582,8.522441432535649,5.68575,0.00011920811972005305
550000,8.03525,0.00011640435062357123,8.307679493010044,8.307679493010044,5.68575,0.00011640435062357123
560000,8.02875,0.00011799705578926587,8.662231115520001,8.307679493010044,5.68575,0.00011640435062357123
