dataset,transform,G_dB@R=1,G_dB@R=2,G_dB@R=3,G_dB@R=4,G_dB@R=5
gaussian,no_transform,0.0,0.0,0.0,0.0,0.0
gaussian,scaling,0.0,0.0,0.0,-1.3458817615941143e-07,2.6865360602812416e-07
gaussian,rht,-0.01419055945353187,0.01916230564168453,-0.005602638607367094,0.0015435572877819936,-0.01625779538900307
gaussian,learned,-0.4991182584039544,0.0500980471123591,0.0011633336554828233,-0.03484513352911556,-0.2550229692767747
llama_qproj,no_transform,0.0,0.0,0.0,0.0,0.0
llama_qproj,scaling,5.631867366906462e-07,3.8846617034238307e-08,3.680499882641186e-07,0.0,2.2726880377632597e-07
llama_qproj,rht,-0.10276215991494753,-0.07671238992249751,-0.01572477375767045,-0.05323310265569425,-0.07369782293256133
llama_qproj,learned,-1.2336388222044081,-0.10452654188098043,0.0007756552683768625,-0.09212433068891634,-0.31534364134054194
