dataset,transform,ortho_rel,m2m_median,participation_median,cond_pre,cond_post,diag_dom_post
gaussian,learned,0.014894480166597106,3.969304323196411,7.575772285461426,1.1942358016967773,1.1986098289489746,0.14759023487567902
gaussian,no_transform,0.0,16.0,1.0,1.1942358016967773,1.1942358016967773,0.14877431094646454
gaussian,rht,0.0,1.0,16.0,1.1942358016967773,1.1942358016967773,0.14121218025684357
gaussian,scaling,0.08129829436809735,16.0,1.0,1.1942358016967773,1.4034953117370605,0.14895133674144745
llama_qproj,learned,0.015026034259737621,3.965925693511963,7.575771331787109,1.4285989999771118,1.4340171813964844,0.24629271030426025
llama_qproj,no_transform,0.0,16.0,1.0,1.4285989999771118,1.4285989999771118,0.17436759173870087
llama_qproj,rht,0.0,1.0,16.0,1.4285989999771118,1.4285988807678223,0.2841036319732666
llama_qproj,scaling,0.08129829436809735,16.0,1.0,1.4285989999771118,1.2449402809143066,0.17585164308547974
