iter,TEST BPP,TEST MSE,TEST loss,Best Loss,Best BPP,Best MSE
1,5.47026171875,0.13121394751966,10.332149681091309,10.332149681091309,inf,0.13121394751966
5000,0.421875,0.0001614182274643099,0.5017205796837807,0.5017205796837807,inf,0.0001614182274643099
10000,0.00390625,0.0001576331411561114,0.006201494959648698,0.006201494959648698,inf,0.0001576331411561114
15000,0.00390625,0.00015749915355263512,0.004724974599201232,0.004724974599201232,inf,0.00015749915355263512
20000,0.00390625,0.00015749360169866122,0.004724808059167117,0.004724808059167117,inf,0.00015749360169866122
25000,0.00390625,0.00015748994718160246,0.004724698409670964,0.004724698409670964,inf,0.00015748994718160246
30000,0.00390625,0.00015742998523637653,0.0047228995589539404,0.0047228995589539404,inf,0.00015742998523637653
35000,0.00390625,0.00015742925991071388,0.004722877796273678,0.004722877796273678,inf,0.00015742925991071388
40000,0.00390625,0.0001573841367280693,0.0047215241061057895,0.0047215241061057895,inf,0.0001573841367280693
45000,0.00390625,0.0001574811383106862,0.00472443413711153,0.0047215241061057895,inf,0.0001573841367280693
50000,0.00390625,0.00015744610893307255,0.004723383273696527,0.0047215241061057895,inf,0.0001573841367280693
55000,0.00390625,0.00015742135931941448,0.004722640781430527,0.0047215241061057895,inf,0.0001573841367280693
60000,0.00390625,0.00015740368874685374,0.0047221106609795244,0.0047215241061057895,inf,0.0001573841367280693
65000,0.00390625,0.0001573895877081668,0.004721687628654763,0.0047215241061057895,inf,0.0001573841367280693
70000,0.00390625,0.00015744789370364742,0.004723436816362664,0.0047215241061057895,inf,0.0001573841367280693
75000,0.00390625,0.0001573832422727719,0.004721497268415987,0.004721497268415987,inf,0.0001573832422727719
80000,0.00390625,0.00015750613423006144,0.004725184021051973,0.004721497268415987,inf,0.0001573832422727719
85000,0.00390625,0.00015738355716894147,0.00472150671039708,0.004721497268415987,inf,0.0001573832422727719
90000,0.00390625,0.0001573865554892109,0.00472159666265361,0.004721497268415987,inf,0.0001573832422727719
95000,0.00390625,0.0001573744726119912,0.004721234184224159,0.004721234184224159,inf,0.0001573744726119912
100000,0.00390625,0.00015737203366006724,0.00472116100601852,0.00472116100601852,inf,0.00015737203366006724
105000,0.00390625,0.00015739044388465119,0.00472171331429854,0.00472116100601852,inf,0.00015737203366006724
110000,0.00390625,0.00015749207797489362,0.004724762354511768,0.00472116100601852,inf,0.00015737203366006724
115000,0.00390625,0.00015737279992026742,0.004721184006193653,0.00472116100601852,inf,0.00015737203366006724
120000,0.00390625,0.0001573892012311262,0.004721676030196249,0.00472116100601852,inf,0.00015737203366006724
125000,0.00390625,0.0001574138943979051,0.004722416823497042,0.00472116100601852,inf,0.00015737203366006724
130000,0.00390625,0.00015738327096187277,0.004721498124767095,0.00472116100601852,inf,0.00015737203366006724
135000,0.00390625,0.00015737184042518494,0.004721155217383057,0.004721155217383057,inf,0.00015737184042518494
140000,0.00390625,0.000157382247140049,0.004721467416966334,0.004721155217383057,inf,0.00015737184042518494
145000,0.00390625,0.00015736862007179297,0.004721058603143319,0.004721058603143319,inf,0.00015736862007179297
150000,0.00390625,0.0001574205705182976,0.004722617113729939,0.004721058603143319,inf,0.00015736862007179297
155000,0.00390625,0.00015738776895886985,0.004721633076900616,0.004721058603143319,inf,0.00015736862007179297
160000,0.00390625,0.0001573847321124049,0.004721541966078803,0.004721058603143319,inf,0.00015736862007179297
165000,0.00390625,0.00015743212491361192,0.004722963732434437,0.004721058603143319,inf,0.00015736862007179297
170000,0.00390625,0.00015738771373435156,0.004721631406107918,0.004721058603143319,inf,0.00015736862007179297
175000,0.00390625,0.00015737023115798364,0.004721106929704547,0.004721058603143319,inf,0.00015736862007179297
180000,0.00390625,0.0001573823713551974,0.004721471148775891,0.004721058603143319,inf,0.00015736862007179297
185000,0.00390625,0.0001573672428203281,0.004721017285482958,0.004721017285482958,inf,0.0001573672428203281
190000,0.00390625,0.00015737035736674442,0.004721110716229305,0.004721017285482958,inf,0.0001573672428203281
195000,0.00390625,0.00015737503098353046,0.004721250931965187,0.004721017285482958,inf,0.0001573672428203281
200000,0.00390625,0.00015740354175068205,0.004722106256522239,0.004721017285482958,inf,0.0001573672428203281
