module_name,module_type,original_shape,matrix_shape,padded_shape,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",0,13,9408,320.0,45197.80859375,4.382598495483398,4.8041888386213865,,,,5.0888091209344566e-05,0.05500435829162598,0.0031889185775071383,0.8096
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,172723.9375,4.654186672634548,4.685436672634548,,,,1.0899452718149405e-05,0.0617249459028244,0.0038225979078561068,0.3067
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,190679.921875,5.141273922390408,5.172523922390408,,,,7.761798769934103e-06,0.06162568926811218,0.0037990915589034557,0.292
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,184639.984375,4.977430131700304,5.008680131700304,,,,9.783900168258697e-06,0.06146220490336418,0.0037860621232539415,0.253
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,192970.15625,5.203400505913629,5.234650505913629,,,,7.316119990719017e-06,0.06148247793316841,0.003783097257837653,0.2533
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",0,0,73728,1152.0,379008.46875,5.125006357828776,5.140631357828776,,,,6.577810381713789e-06,0.061639633029699326,0.0038040312938392162,0.3344
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,763148.6875,5.1598082648383246,5.1754332648383246,,,,4.423398422659375e-06,0.06179419532418251,0.0038236379623413086,0.4235
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",0,0,8192,128.0,40580.23046875,4.938016414642334,4.953641414642334,,,,1.870409687398933e-05,0.06120270863175392,0.0037503454368561506,0.3875
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,764516.5625,5.169084760877821,5.184709760877821,,,,4.44107354269363e-06,0.061611343175172806,0.003803533734753728,0.2356
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,787314.0625,5.323690202501085,5.339315202501085,,,,3.4462630082998658e-06,0.06172027066349983,0.0038161943666636944,0.2522
layer3.0.conv1,Conv2d,"[256, 128, 3, 3]","[256, 1152]","[256, 1152]",0,0,294912,2304.0,1525855.25,5.166121588812934,5.173934088812934,,,,3.213408263036399e-06,0.061644796282052994,0.003808496752753854,0.2351
layer3.0.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,3119622.5,5.2812610202365455,5.2890735202365455,,,,2.3864479317126097e-06,0.06164873391389847,0.003804290434345603,0.4988
layer3.0.downsample.0,Conv2d,"[256, 128, 1, 1]","[256, 128]","[256, 128]",0,0,32768,256.0,175200.625,5.338886260986328,5.346698760986328,,,,4.152951078140177e-06,0.06175670027732849,0.003826405154541135,0.3217
layer3.1.conv1,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,3145921.25,5.3258484734429254,5.3336609734429254,,,,1.9031971305594197e-06,0.06152559816837311,0.00380629557184875,0.2595
layer3.1.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,3155915.0,5.342792087131077,5.350604587131077,,,,1.6300590459650266e-06,0.06161757931113243,0.0038151624612510204,0.2538
layer4.0.conv1,Conv2d,"[512, 256, 3, 3]","[512, 2304]","[512, 2304]",0,0,1179648,4608.0,6391174.5,5.413959503173828,5.417865753173828,,,,1.5054005189085728e-06,0.06154773384332657,0.003811562666669488,0.3662
layer4.0.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,12957542.0,5.488215976291233,5.492122226291233,,,,1.1423703654145356e-06,0.06151951849460602,0.0038059998769313097,0.5167
layer4.0.downsample.0,Conv2d,"[512, 256, 1, 1]","[512, 256]","[512, 256]",0,0,131072,512.0,701812.625,5.350499153137207,5.354405403137207,,,,4.080475264345296e-06,0.06159813702106476,0.003796815872192383,0.2948
layer4.1.conv1,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,12963530.0,5.490754021538629,5.494660271538629,,,,1.2109601357224165e-06,0.06123176962137222,0.0038095423951745033,0.4618
layer4.1.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,12462365.0,5.2783326043023004,5.2822388543023004,,,,6.651838475590921e-07,0.061778999865055084,0.0038168365135788918,0.3378
fc,Linear,"[1000, 512]","[1000, 512]","[1000, 512]",0,0,512000,1024.0,2762848.5,5.3941884765625,5.3961884765625,,,,1.8335789718548767e-05,0.06164855137467384,0.0038005143869668245,0.3996
