transform,ortho_rel_mean,ortho_rel_std,m2m_med_mean,m2m_med_std,pr_med_mean,pr_med_std,dist_to_RHT_mean,dist_to_RHT_std
no_transform,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
scaling,0.0,0.0,16.0,0.0,1.0,0.0,1.0322290658950806,0.024705197662115097
rht,0.0,0.0,1.0,0.0,16.0,0.0,4.203803882774082e-07,2.842170943040401e-14
learned,0.02960939332842827,0.021415723487734795,3.9836134910583496,0.030457140877842903,7.557400226593018,0.07474025338888168,4.115462779998779,0.02510860562324524
random_init,1.3830021619796753,0.14486922323703766,2.419491767883301,0.1376495212316513,10.776676177978516,0.3846691846847534,3.990766763687134,1.3807153701782227
