bin,sigma_mid,transform,ortho_rel,m2m_med,pr_med,dist_to_RHT
0,0.016760652884840965,no_transform,9.080033163569209e-07,15.999982833862305,1.000002145767212,1.2247436046600342
0,0.016760652884840965,scaling,0.04653280232584032,15.110676765441895,1.1201480627059937,35.56505584716797
0,0.016760652884840965,rht,1.2494475281459195e-06,1.000001311302185,16.0,1.9885474102920853e-06
0,0.016760652884840965,learned,0.012946936394299833,3.9750893115997314,7.523776054382324,4.137612342834473
0,0.016760652884840965,random_init,1.5489772671236255,2.5084574222564697,11.115447044372559,14.947897911071777
1,0.14596839249134064,no_transform,1.351187250975272e-07,16.0,1.0,1.2247446775436401
1,0.14596839249134064,scaling,0.06722013562619848,14.598572731018066,1.2079750299453735,2.4344778060913086
1,0.14596839249134064,rht,5.91286436701921e-07,1.0000005960464478,16.0,4.838576046495291e-07
1,0.14596839249134064,learned,0.013425444772768344,3.9801297187805176,7.528701305389404,4.133589744567871
1,0.14596839249134064,random_init,1.3883842868013299,2.4681789875030518,11.173974990844727,5.481057167053223
2,0.7797738313674927,no_transform,1.0464424349265755e-07,16.0,1.0,1.2247447967529297
2,0.7797738313674927,scaling,0.0021430935383340505,15.95052719116211,1.0054593086242676,1.4121952056884766
2,0.7797738313674927,rht,5.956301265541697e-07,1.0000004768371582,16.0,5.539168341783807e-07
2,0.7797738313674927,learned,0.015303985752641275,3.984022855758667,7.531768321990967,4.127824306488037
2,0.7797738313674927,random_init,1.3221804720296328,2.2350077629089355,11.182774543762207,3.886286497116089
3,1.0517431497573853,no_transform,8.590543387754224e-08,16.0,1.0,1.2247446775436401
3,1.0517431497573853,scaling,0.007940002351244918,15.831999778747559,1.0197851657867432,1.1616729497909546
3,1.0517431497573853,rht,4.5012853888692916e-07,1.0000004768371582,16.0,4.848747039432055e-07
3,1.0517431497573853,learned,0.018040635428457234,3.9849929809570312,7.543315887451172,4.118165016174316
3,1.0517431497573853,random_init,1.282161279747369,2.1621603965759277,11.400537490844727,3.172189474105835
4,1.6109601259231567,no_transform,1.3098290522438737e-07,16.0,1.0,1.2247446775436401
4,1.6109601259231567,scaling,0.05338806481798281,15.264610290527344,1.0943100452423096,1.0105674266815186
4,1.6109601259231567,rht,7.24300775800657e-07,1.0000007152557373,16.0,5.993201739329379e-07
4,1.6109601259231567,learned,0.02140738935182971,3.977243423461914,7.581835746765137,4.102757453918457
4,1.6109601259231567,random_init,1.242571941651442,2.1323299407958984,11.19327163696289,2.64847731590271
