transform,ortho_rel_mean,ortho_rel_std,m2m_med_mean,m2m_med_std,pr_med_mean,pr_med_std,dist_to_RHT_mean,dist_to_RHT_std
no_transform,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
scaling,0.0,0.0,16.0,0.0,1.0,0.0,0.9687240123748779,1.1920928955078125e-07
rht,0.0,0.0,1.0,0.0,16.0,0.0,4.203803882774082e-07,2.842170943040401e-14
learned,0.038509853184223175,0.018856368958950043,3.954942226409912,0.040821656584739685,7.634317398071289,0.09725359827280045,4.087815284729004,0.02587541937828064
random_init,1.231734275817871,0.0646117627620697,2.3937973976135254,0.12531915307044983,10.90000057220459,0.2948935031890869,2.6495463848114014,0.32495033740997314
