transform,ortho_rel,m2m_med,pr_med,dist_to_RHT
no_transform,1.1709086322753137e-07,16.0,1.0,1.2247446775436401
scaling,0.09008520239155003,14.964045524597168,1.1518547534942627,1.0871638059616089
rht,6.385026633695048e-07,1.0000005960464478,16.0,0.0
learned,0.019375919111307236,3.9798617362976074,7.564451694488525,4.110146999359131
random_init,1.2704620199670285,2.066448450088501,11.760622024536133,2.9123117923736572
