transform,ortho_rel_mean,m2m_med_mean,pr_med_mean,dist_orig_mean,dist_unit_mean,dist_cos_mean,ortho_rel_std,m2m_med_std,pr_med_std,dist_orig_std,dist_unit_std,dist_cos_std
no_transform,0.0,16.0,1.0,1.2247449159622192,1.2247449159622192,0.75,0.0,0.0,0.0,0.0,0.0,0.0
scaling,0.0,16.0,1.0,1.0322290658950806,1.2247449159622192,0.75,0.0,0.0,0.0,0.024705197662115097,0.0,9.219623287037848e-09
rht,0.0,1.0,16.0,4.203803882774082e-07,3.8030810856071184e-07,0.0,0.0,0.0,0.0,2.842170943040401e-14,5.684341886080802e-14,0.0
learned,0.02960939332842827,3.9836134910583496,7.557400226593018,4.115462779998779,0.7913718223571777,0.3131367564201355,0.021415723487734795,0.030457140877842903,0.07474025338888168,0.02510860562324524,0.00208921916782856,0.0016516068717464805
random_init,1.3830021619796753,2.419491767883301,10.776676177978516,3.990766763687134,0.6205949783325195,0.19280901551246643,0.14486922323703766,0.1376495212316513,0.3846691846847534,1.3807153701782227,0.02191028743982315,0.013662604615092278
