transform,ortho_rel_mean,ortho_rel_std,m2m_med_mean,m2m_med_std,pr_med_mean,pr_med_std,dist_to_RHT_mean,dist_to_RHT_std
no_transform,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
scaling,0.0,0.0,16.0,0.0,1.0,0.0,13.494461059570312,24.606813430786133
rht,0.0,0.0,1.0,0.0,16.0,0.0,4.203803882774082e-07,2.842170943040401e-14
learned,0.019044017419219017,0.013781791552901268,3.9789419174194336,0.01902766339480877,7.534768104553223,0.049467261880636215,4.130210876464844,0.016197608783841133
random_init,1.5094571113586426,0.14742282032966614,2.469581365585327,0.12780596315860748,10.725433349609375,0.3523947298526764,9.034273147583008,5.183902740478516
