transform,bin,sigma_mid,n,ortho_rel_mean,ortho_rel_std,m2m_med_mean,m2m_med_std,pr_med_mean,pr_med_std,dist_to_RHT_mean,dist_to_RHT_std
no_transform,0,0.016760652884840965,401,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
no_transform,1,0.14596839249134064,392,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
no_transform,2,0.7797738313674927,412,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
no_transform,3,1.0517431497573853,430,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
no_transform,4,1.6109601259231567,413,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
scaling,0,0.016760652884840965,401,0.0,0.0,16.0,0.0,1.0,0.0,58.0168342590332,24.0874080657959
scaling,1,0.14596839249134064,392,0.0,0.0,16.0,0.0,1.0,0.0,7.25897216796875,4.528234004974365
scaling,2,0.7797738313674927,412,0.0,0.0,16.0,0.0,1.0,0.0,1.4265735149383545,0.07398150861263275
scaling,3,1.0517431497573853,430,0.0,0.0,16.0,0.0,1.0,0.0,1.1921699047088623,0.07786143571138382
scaling,4,1.6109601259231567,413,0.0,0.0,16.0,0.0,1.0,0.0,1.0314956903457642,0.02395860105752945
rht,0,0.016760652884840965,401,0.0,0.0,1.0,0.0,16.0,0.0,4.2038044512082706e-07,2.842170943040401e-14
rht,1,0.14596839249134064,392,0.0,0.0,1.0,0.0,16.0,0.0,4.2038041669911763e-07,0.0
rht,2,0.7797738313674927,412,0.0,0.0,1.0,0.0,16.0,0.0,4.203803882774082e-07,2.842170943040401e-14
rht,3,1.0517431497573853,430,0.0,0.0,1.0,0.0,16.0,0.0,4.203803882774082e-07,2.842170943040401e-14
rht,4,1.6109601259231567,413,0.0,0.0,1.0,0.0,16.0,0.0,4.203803882774082e-07,2.842170943040401e-14
learned,0,0.016760652884840965,401,0.012987417168915272,3.8487825804622844e-05,3.975583553314209,0.0004599301901180297,7.522276878356934,0.0017950101755559444,4.137618541717529,0.0003173722652718425
learned,1,0.14596839249134064,392,0.013535295613110065,0.001541141071356833,3.975327491760254,0.005081304349005222,7.52602481842041,0.019400279968976974,4.137210845947266,0.003388575976714492
learned,2,0.7797738313674927,412,0.017881106585264206,0.011564312502741814,3.978626251220703,0.015359518118202686,7.531656742095947,0.051335010677576065,4.132575511932373,0.012844431214034557
learned,3,1.0517431497573853,430,0.02233535423874855,0.015610303729772568,3.9828121662139893,0.023348286747932434,7.536198139190674,0.06013889238238335,4.127626895904541,0.016263021156191826
learned,4,1.6109601259231567,413,0.027886532247066498,0.019931277260184288,3.981919288635254,0.030328352004289627,7.556812286376953,0.06824751198291779,4.116704940795898,0.023565413430333138
random_init,0,0.016760652884840965,401,1.6079442501068115,0.03538986295461655,2.487314462661743,0.05961036682128906,10.612814903259277,0.21276062726974487,16.084253311157227,0.3891226649284363
random_init,1,0.14596839249134064,392,1.5704087018966675,0.1064630001783371,2.5025522708892822,0.12259447574615479,10.73533821105957,0.3439332842826843,13.192440032958984,3.2241804599761963
random_init,2,0.7797738313674927,412,1.5175011157989502,0.1513303965330124,2.490309953689575,0.1456901729106903,10.729413986206055,0.3801620304584503,7.028313159942627,2.8674092292785645
random_init,3,1.0517431497573853,430,1.463226079940796,0.1496967077255249,2.4547789096832275,0.140133336186409,10.740114212036133,0.3928842842578888,5.345275402069092,2.2838776111602783
random_init,4,1.6109601259231567,413,1.3960886001586914,0.14674974977970123,2.415802240371704,0.12953026592731476,10.806122779846191,0.3681411147117615,4.08434534072876,1.5024420022964478
