iter,TEST BPP,TEST MSE,TEST loss,Best Loss,Best BPP,Best MSE
10000,6.016,0.014760978164961138,4.053154241800308,4.053154241800308,6.016,0.014760978164961138
20000,6.014,0.014771569107515191,4.0361380019187925,4.0361380019187925,6.014,0.014760978164961138
30000,6.014,0.014696811728912398,4.033057907104492,4.033057907104492,6.014,0.014696811728912398
40000,6.014,0.014669289461393484,4.032216025829316,4.032216025829316,6.014,0.014669289461393484
50000,6.014,0.014687268220272633,4.032791283369065,4.032216025829316,6.014,0.014669289461393484
60000,6.016,0.01466243286771852,4.032297775268555,4.032216025829316,6.014,0.01466243286771852
70000,6.014,0.01463087428066809,4.029842143058777,4.029842143058777,6.014,0.01463087428066809
80000,6.014,0.014648655169396374,4.030666746139526,4.029842143058777,6.014,0.01463087428066809
90000,6.016,0.014647422750650394,4.0308669865131375,4.029842143058777,6.014,0.01463087428066809
100000,6.016,0.014621064008766877,4.030020721197128,4.029842143058777,6.014,0.014621064008766877
110000,6.016,0.014604460970098843,4.029487813949585,4.029487813949585,6.014,0.014604460970098843
120000,6.016,0.014601413973799741,4.0293406720161435,4.0293406720161435,6.014,0.014601413973799741
130000,6.016,0.01460042237928629,4.029268826007843,4.029268826007843,6.014,0.01460042237928629
140000,6.016,0.014627648272876055,4.030373197555542,4.029268826007843,6.014,0.01460042237928629
150000,6.016,0.014630647041028283,4.031055993080139,4.029268826007843,6.014,0.01460042237928629
160000,6.016,0.014579703728681268,4.029799971103668,4.029268826007843,6.014,0.014579703728681268
170000,6.016,0.014603115585540226,4.030131249427796,4.029268826007843,6.014,0.014579703728681268
180000,6.016,0.014612509792940584,4.030078421831131,4.029268826007843,6.014,0.014579703728681268
190000,6.014,0.014595531791194915,4.029222979784012,4.029222979784012,6.014,0.014579703728681268
200000,6.016,0.014650345796277327,4.03071294760704,4.029222979784012,6.014,0.014579703728681268
210000,6.016,0.014687968911921019,4.033628456354141,4.029222979784012,6.014,0.014579703728681268
220000,6.014,0.014641897557149513,4.030939979314804,4.029222979784012,6.014,0.014579703728681268
230000,6.014,0.01462677535496956,4.030593088388443,4.029222979784012,6.014,0.014579703728681268
240000,6.014,0.014651842629145706,4.031802323102951,4.029222979784012,6.014,0.014579703728681268
250000,6.014,0.014652010750295107,4.031357556343079,4.029222979784012,6.014,0.014579703728681268
260000,6.014,0.01463602885593028,4.031139808416366,4.029222979784012,6.014,0.014579703728681268
270000,6.014,0.014666719126663522,4.032051147460938,4.029222979784012,6.014,0.014579703728681268
280000,6.014,0.014668543759125649,4.031814693212509,4.029222979784012,6.014,0.014579703728681268
290000,6.014,0.014645437932399417,4.031551962137223,4.029222979784012,6.014,0.014579703728681268
300000,6.014,0.014654999273057807,4.031678472518921,4.029222979784012,6.014,0.014579703728681268
310000,6.014,0.01466788373687907,4.032672001838684,4.029222979784012,6.014,0.014579703728681268
320000,6.014,0.014664751604116243,4.032617948055267,4.029222979784012,6.014,0.014579703728681268
330000,6.014,0.014672160404079678,4.0336433250904085,4.029222979784012,6.014,0.014579703728681268
340000,6.018,0.01466767861253469,4.033334562063217,4.029222979784012,6.014,0.014579703728681268
350000,6.018,0.014691448379756993,4.034128418684006,4.029222979784012,6.014,0.014579703728681268
360000,6.018,0.014715864914533833,4.035186465740204,4.029222979784012,6.014,0.014579703728681268
370000,6.018,0.014666616111466368,4.033411189079285,4.029222979784012,6.014,0.014579703728681268
380000,6.018,0.014660711438399157,4.033532132863998,4.029222979784012,6.014,0.014579703728681268
390000,6.02,0.014660800646293477,4.033019803762436,4.029222979784012,6.014,0.014579703728681268
400000,6.018,0.01469571534331496,4.035284894943238,4.029222979784012,6.014,0.014579703728681268
410000,6.018,0.014661687703214129,4.033307827949524,4.029222979784012,6.014,0.014579703728681268
420000,6.016,0.014662898414785493,4.033964051008224,4.029222979784012,6.014,0.014579703728681268
430000,6.018,0.014689233888712945,4.035200249433517,4.029222979784012,6.014,0.014579703728681268
440000,6.016,0.014704475962529735,4.035752228021622,4.029222979784012,6.014,0.014579703728681268
450000,6.018,0.014709586828668658,4.036693778514862,4.029222979784012,6.014,0.014579703728681268
460000,6.016,0.014681957471262821,4.035516566753388,4.029222979784012,6.014,0.014579703728681268
470000,6.016,0.014714165477023474,4.036200957298279,4.029222979784012,6.014,0.014579703728681268
480000,6.018,0.014685446989662237,4.036096378087997,4.029222979784012,6.014,0.014579703728681268
490000,6.014,0.014660757655636656,4.033902562379837,4.029222979784012,6.014,0.014579703728681268
500000,6.016,0.014687927502324947,4.035172470808029,4.029222979784012,6.014,0.014579703728681268
510000,6.016,0.014679888005423981,4.0349279162883755,4.029222979784012,6.014,0.014579703728681268
520000,6.014,0.014660941272340198,4.0336262757778165,4.029222979784012,6.014,0.014579703728681268
530000,6.014,0.014657443188111437,4.033448109865189,4.029222979784012,6.014,0.014579703728681268
540000,6.014,0.014640605338021837,4.033123510599136,4.029222979784012,6.014,0.014579703728681268
550000,6.014,0.014658644224286317,4.033586861133576,4.029222979784012,6.014,0.014579703728681268
560000,6.014,0.014652211350183925,4.033426456689835,4.029222979784012,6.014,0.014579703728681268
570000,6.014,0.014643125711811594,4.032817735433579,4.029222979784012,6.014,0.014579703728681268
580000,6.014,0.01465063810275931,4.033822009563446,4.029222979784012,6.014,0.014579703728681268
590000,6.014,0.014651380492983722,4.033593739748001,4.029222979784012,6.014,0.014579703728681268
600000,6.014,0.014642700518730964,4.033511289358139,4.029222979784012,6.014,0.014579703728681268
610000,6.016,0.014628041161039797,4.033178278207779,4.029222979784012,6.014,0.014579703728681268
