module_name,module_type,original_shape,matrix_shape,padded_shape,used_hessian,hessian_input_dim,hessian_sample_count,hessian_batch_count,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",True,147,6422528,16,0,13,9408,320.0,39533.8984375,3.8294822692871096,4.2021575720131805,,,,0.00026993147912435234,0.12668223679065704,0.016051916405558586,0.9342
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,140893.6875,3.790735880533854,3.821985880533854,,,,3.11582516587805e-05,0.10436257719993591,0.01092765387147665,1.0039
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,144752.453125,3.895411597357856,3.926661597357856,,,,2.2696493033436127e-05,0.10538044571876526,0.011109031736850739,1.3686
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,143057.046875,3.8494207594129772,3.8806707594129772,,,,3.7103764043422416e-05,0.11969088762998581,0.014357994310557842,0.7869
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,144660.859375,3.892926957872179,3.924176957872179,,,,1.8884938981500454e-05,0.09877993166446686,0.009765226393938065,1.0687
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",True,576,401408,16,0,0,73728,1152.0,288823.0625,3.901788499620226,3.917413499620226,,,,2.4248518457170576e-05,0.11834822595119476,0.01402322668582201,0.8653
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,574927.5,3.8833516438802085,3.8989766438802085,,,,1.0215009751846083e-05,0.09390515834093094,0.008829977363348007,2.2102
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",True,64,401408,16,0,0,8192,128.0,30879.923828125,3.753896951675415,3.769521951675415,,,,4.5479471737053245e-05,0.09543551504611969,0.009119058027863503,0.2923
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,576521.625,3.8941624959309897,3.9097874959309897,,,,1.0898192158492748e-05,0.0965147614479065,0.009333698078989983,1.4252
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,580281.875,3.919663323296441,3.935288323296441,,,,7.4949703048332594e-06,0.091020368039608,0.008299501612782478,2.6983
layer3.0.conv1,Conv2d,"[256, 128, 3, 3]","[256, 1152]","[256, 1152]",True,1152,100352,16,0,0,294912,2304.0,1152323.875,3.899535708957248,3.907348208957248,,,,7.463951988029294e-06,0.09395021200180054,0.008846194483339787,2.7162
layer3.0.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",True,2304,100352,16,0,0,589824,4608.0,2313072.5,3.9138192070855036,3.9216317070855036,,,,5.466803941089893e-06,0.09330719709396362,0.008714755065739155,8.9297
layer3.0.downsample.0,Conv2d,"[256, 128, 1, 1]","[256, 128]","[256, 128]",True,128,100352,16,0,0,32768,256.0,127724.1875,3.8900203704833984,3.8978328704833984,,,,8.824693395581562e-06,0.0900234505534172,0.008130810223519802,1.837
layer3.1.conv1,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",True,2304,100352,16,0,0,589824,4608.0,2311024.25,3.9103465610080295,3.9181590610080295,,,,4.821413313038647e-06,0.09792669862508774,0.009642576798796654,10.4659
layer3.1.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",True,2304,100352,16,0,0,589824,4608.0,2323431.0,3.9313812255859375,3.9391937255859375,,,,3.7362244711403036e-06,0.09328646957874298,0.008744655176997185,10.531
layer4.0.conv1,Conv2d,"[512, 256, 3, 3]","[512, 2304]","[512, 2304]",True,2304,25088,16,0,0,1179648,4608.0,4649172.0,3.9372456868489585,3.9411519368489585,,,,3.839179044007324e-06,0.09828878939151764,0.00972051452845335,20.2259
layer4.0.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",True,4608,25088,16,0,0,2359296,9216.0,9305856.0,3.9404296875,3.9443359375,,,,2.665344482011278e-06,0.09396927803754807,0.00888004433363676,95.9768
layer4.0.downsample.0,Conv2d,"[512, 256, 1, 1]","[512, 256]","[512, 256]",True,256,25088,16,0,0,131072,512.0,511996.5625,3.902317523956299,3.906223773956299,,,,8.727715794520918e-06,0.09008702635765076,0.008120997808873653,44.675
layer4.1.conv1,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",True,4608,25088,16,0,0,2359296,9216.0,9321132.0,3.946904500325521,3.950810750325521,,,,2.9165087198634865e-06,0.09502600133419037,0.009175002574920654,124.7273
layer4.1.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",True,4608,25088,16,0,0,2359296,9216.0,9270190.0,3.92531246609158,3.92921871609158,,,,1.6222645626839949e-06,0.09647871553897858,0.009308583103120327,219.849
fc,Linear,"[1000, 512]","[1000, 512]","[1008, 512]",True,512,512,16,8,0,512000,1024.0,2011389.25,3.8953319731212797,3.92849462890625,,,,0.00012255781621206552,0.15938350558280945,0.02560644969344139,183.6359
