transform,bin,sigma_mid,n_cols,ortho_rel_mean,ortho_rel_std,m2m_med_mean,m2m_med_std,pr_med_mean,pr_med_std,dist_to_RHT(unit)_mean,dist_to_RHT(unit)_std
no_transform,0,0.01320573315024376,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
no_transform,1,0.02636563591659069,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
no_transform,2,0.08934250473976135,409,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
no_transform,3,0.24869303405284882,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
no_transform,4,0.7254930734634399,409,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
no_transform,5,0.8271152973175049,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
no_transform,6,0.944014310836792,409,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
no_transform,7,1.2227284908294678,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
no_transform,8,1.5130280256271362,409,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
no_transform,9,1.799484133720398,410,0.0,0.0,16.0,0.0,1.0,0.0,1.2247447967529297,1.1920928955078125e-07
rht,0,0.01320573315024376,410,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
rht,1,0.02636563591659069,410,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
rht,2,0.08934250473976135,409,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
rht,3,0.24869303405284882,410,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
rht,4,0.7254930734634399,409,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
rht,5,0.8271152973175049,410,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
rht,6,0.944014310836792,409,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
rht,7,1.2227284908294678,410,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
rht,8,1.5130280256271362,409,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
rht,9,1.799484133720398,410,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
learned_llama,0,0.01320573315024376,410,0.01298600435256958,7.887490937719122e-06,3.9756901264190674,0.00010964711691485718,7.52227258682251,0.0003633129526861012,0.793003261089325,7.806411304045469e-06
learned_llama,1,0.02636563591659069,410,0.012989873066544533,2.1363886844483204e-05,3.9754483699798584,0.00027522724121809006,7.522480010986328,0.0009902633028104901,0.7930028438568115,1.768617585184984e-05
learned_llama,2,0.08934250473976135,409,0.013017931953072548,8.01772839622572e-05,3.9748406410217285,0.0005750221316702664,7.524280548095703,0.0032050996087491512,0.792993426322937,6.069363371352665e-05
learned_llama,3,0.24869303405284882,410,0.014408060349524021,0.0023138425312936306,3.9759202003479004,0.003604891011491418,7.525789737701416,0.010328634642064571,0.7929136753082275,0.00026075425557792187
learned_llama,4,0.7254930734634399,409,0.017564892768859863,0.003433394478634,3.9796414375305176,0.006166717037558556,7.528061389923096,0.016637470573186874,0.7927384972572327,0.0003934810229111463
learned_llama,5,0.8271152973175049,410,0.01887875609099865,0.004735780879855156,3.980433702468872,0.007028471678495407,7.530303955078125,0.017827369272708893,0.7926223278045654,0.00042395549826323986
learned_llama,6,0.944014310836792,409,0.020438602194190025,0.005120172630995512,3.9816205501556396,0.007627813145518303,7.532373905181885,0.019708048552274704,0.7924836874008179,0.0004623308195732534
learned_llama,7,1.2227284908294678,410,0.02397962659597397,0.0061667985282838345,3.982896566390991,0.009036258794367313,7.541635990142822,0.02225513756275177,0.7921153903007507,0.000555040780454874
learned_llama,8,1.5130280256271362,409,0.027710063382983208,0.007078577298671007,3.9836695194244385,0.010331683792173862,7.547633171081543,0.02410266175866127,0.7917186617851257,0.0006555647705681622
