col,sigma,no_transform_ortho_rel_mean,no_transform_ortho_rel_std,no_transform_m2m_med_mean,no_transform_m2m_med_std,no_transform_pr_med_mean,no_transform_pr_med_std,no_transform_dist_to_RHT(unit)_mean,no_transform_dist_to_RHT(unit)_std,rht_ortho_rel_mean,rht_ortho_rel_std,rht_m2m_med_mean,rht_m2m_med_std,rht_pr_med_mean,rht_pr_med_std,rht_dist_to_RHT(unit)_mean,rht_dist_to_RHT(unit)_std,learned_llama_ortho_rel_mean,learned_llama_ortho_rel_std,learned_llama_m2m_med_mean,learned_llama_m2m_med_std,learned_llama_pr_med_mean,learned_llama_pr_med_std,learned_llama_dist_to_RHT(unit)_mean,learned_llama_dist_to_RHT(unit)_std,learned_gauss_ortho_rel_mean,learned_gauss_ortho_rel_std,learned_gauss_m2m_med_mean,learned_gauss_m2m_med_std,learned_gauss_pr_med_mean,learned_gauss_pr_med_std,learned_gauss_dist_to_RHT(unit)_mean,learned_gauss_dist_to_RHT(unit)_std,random_init_ortho_rel_mean,random_init_ortho_rel_std,random_init_m2m_med_mean,random_init_m2m_med_std,random_init_pr_med_mean,random_init_pr_med_std,random_init_dist_to_RHT(unit)_mean,random_init_dist_to_RHT(unit)_std,scaling_ortho_rel_mean,scaling_ortho_rel_std,scaling_m2m_med_mean,scaling_m2m_med_std,scaling_pr_med_mean,scaling_pr_med_std,scaling_dist_to_RHT(unit)_mean,scaling_dist_to_RHT(unit)_std
0,1.0600165128707886,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.017440369352698326,0.0051961601711809635,3.977907180786133,0.02094925008714199,7.527876377105713,0.06534282118082047,0.7921151518821716,0.0013967225095257163,0.024349607527256012,0.01009486336261034,2.5737781524658203,0.015587161295115948,10.722264289855957,0.019352564588189125,0.6051537990570068,0.001072781509719789,1.4013991355895996,0.17131170630455017,2.509458541870117,0.11178676038980484,10.59444522857666,0.29294353723526,0.6320288777351379,0.025364074856042862,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
1,1.6785119771957397,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.04835410416126251,0.04242989048361778,3.9709861278533936,0.03447636589407921,7.546735763549805,0.07198107987642288,0.7919204235076904,0.002147597260773182,0.0650494322180748,0.08785822987556458,2.5661888122558594,0.012570751830935478,10.797904968261719,0.13839350640773773,0.6042640805244446,0.0006644897512160242,1.3658924102783203,0.10743588954210281,2.411346435546875,0.1298191100358963,10.632674217224121,0.2567255198955536,0.6202223896980286,0.023212134838104248,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
2,1.6731467247009277,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.023957522585988045,0.01225280947983265,3.976067066192627,0.0130452960729599,7.536721229553223,0.06240776926279068,0.7913132905960083,0.002541530877351761,0.13177038729190826,0.08979387581348419,2.545806407928467,0.03716594725847244,10.856280326843262,0.14690563082695007,0.603973925113678,0.0027276985347270966,1.3511906862258911,0.08834296464920044,2.360722064971924,0.10342082381248474,10.73355484008789,0.37259772419929504,0.6211701035499573,0.02014332450926304,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
3,0.5958420634269714,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.01819482073187828,0.006212450098246336,3.9860754013061523,0.017448272556066513,7.52211856842041,0.05792315676808357,0.7930776476860046,0.0009730972233228385,0.021504323929548264,0.006360392086207867,2.5699009895324707,0.007630255073308945,10.72602653503418,0.019938338547945023,0.6045658588409424,0.0004790529201272875,1.499472737312317,0.12269563227891922,2.364879846572876,0.12173256278038025,10.718435287475586,0.6063036322593689,0.6231497526168823,0.020223552361130714,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
4,2.1076509952545166,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.047026000916957855,0.027744218707084656,4.00145149230957,0.035161569714546204,7.620072364807129,0.10166289657354355,0.7895968556404114,0.002270171884447336,0.12767824530601501,0.04449985548853874,2.5572972297668457,0.06730988621711731,10.731426239013672,0.12319689244031906,0.6045695543289185,0.0025360221043229103,1.2963576316833496,0.08759624511003494,2.4588427543640137,0.112212173640728,10.950105667114258,0.2751293480396271,0.612532377243042,0.020243629813194275,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
5,0.6352014541625977,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.016771558672189713,0.0045350766740739346,3.9806768894195557,0.010126056149601936,7.530918121337891,0.06444741785526276,0.7931525111198425,0.0011147023178637028,0.017021287232637405,0.0020457322243601084,2.5735154151916504,0.006815219763666391,10.730775833129883,0.02630358748137951,0.604566752910614,0.0004529935831669718,1.5783710479736328,0.1545363813638687,2.4726498126983643,0.1555575579404831,10.982476234436035,0.4258774518966675,0.6240847110748291,0.019115760922431946,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
6,0.013686643913388252,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.012993312440812588,1.9931860151700675e-05,3.9757120609283447,0.00020337825117167085,7.521843433380127,0.0010820915922522545,0.7930046319961548,3.5068813303951174e-05,0.01675620675086975,0.00024815797223709524,2.574855327606201,0.0016042429488152266,10.719226837158203,0.001810187241062522,0.604649543762207,2.0950417820131406e-05,1.6074320077896118,0.02496555633842945,2.475801706314087,0.03328531235456467,10.557382583618164,0.20693111419677734,0.6405318975448608,0.004478626884520054,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
7,0.015477754175662994,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.012985148467123508,1.2743103070533834e-05,3.9758572578430176,0.0001722479792078957,7.522171974182129,0.0009894687682390213,0.793009877204895,2.6850977519643493e-05,0.016658984124660492,5.428350777947344e-05,2.574497938156128,0.0005199995939619839,10.71884822845459,0.0008369396673515439,0.6046746373176575,3.608570477808826e-05,1.606964349746704,0.03707578405737877,2.456031084060669,0.02826889231801033,10.669069290161133,0.1913871169090271,0.6396767497062683,0.007545297034084797,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
8,0.8720263242721558,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.016667231917381287,0.0035716404672712088,3.982424736022949,0.021263964474201202,7.540053367614746,0.049920596182346344,0.7925071120262146,0.001319501898251474,0.02934291400015354,0.032320450991392136,2.571657657623291,0.007562126033008099,10.729263305664062,0.024023979902267456,0.6047716736793518,0.0007158329826779664,1.550955057144165,0.1698412299156189,2.4407148361206055,0.09920669347047806,10.78583812713623,0.45656323432922363,0.6283984184265137,0.015339763835072517,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
9,0.7920753359794617,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.015634892508387566,0.004511733539402485,3.9764604568481445,0.009594080969691277,7.520323753356934,0.021065430715680122,0.7931461334228516,0.0007584751001559198,0.028658246621489525,0.03742191940546036,2.5793986320495605,0.015467651188373566,10.744914054870605,0.06017223373055458,0.6047213077545166,0.0003074523410759866,1.4771745204925537,0.21205225586891174,2.492733955383301,0.12222648411989212,10.738908767700195,0.3042203485965729,0.6397936344146729,0.008678137324750423,0.0,0.0,16.0,0.0,1.0,0.0,1.2247449159622192,0.0
