transform,ortho_rel_mean,m2m_med_mean,pr_med_mean,dist_to_RHT(unit)_mean,ortho_rel_std,m2m_med_std,pr_med_std,dist_to_RHT(unit)_std
no_transform,0.0,16.0,1.0,1.2247449159622192,0.0,0.0,0.0,0.0
rht,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
learned_llama,0.019351275637745857,3.9792864322662354,7.53395938873291,0.7924584150314331,0.01440202072262764,0.01969042606651783,0.0505359023809433,0.0013922402868047357
learned_gauss,0.03172449395060539,2.5693912506103516,10.735026359558105,0.6045787334442139,0.039794035255908966,0.020518966019153595,0.04926885664463043,0.0009595986339263618
random_init,1.5098850727081299,2.468186378479004,10.719345092773438,0.6330987215042114,0.15000922977924347,0.1303040236234665,0.35387009382247925,0.020656660199165344
scaling,0.0,16.0,1.0,1.2247449159622192,0.0,0.0,0.0,0.0
