iter,Test BPP,Test MSE,Best Loss,Best MSE
1,8.0,2353044321146770.0,8.0,2353044321146770.0
10000,8.408,88964801992208.14,8.0,88964801992208.14
20000,8.554,21813639497217.633,8.0,21813639497217.633
30000,8.608,5203505233292.42,8.0,5203505233292.42
40000,8.81,2807575176576.8994,8.0,2807575176576.8994
50000,9.04,1523553557633.3325,8.0,1523553557633.3325
60000,9.256,377757247861.4175,8.0,377757247861.4175
70000,9.496,848222385105.789,8.0,377757247861.4175
80000,9.626,461095225508.4723,8.0,377757247861.4175
90000,9.726,759914198492.5234,8.0,377757247861.4175
100000,9.744,521060882698.31824,8.0,377757247861.4175
110000,9.85,859440076049.1085,8.0,377757247861.4175
120000,9.872,98424755538.03157,8.0,98424755538.03157
130000,9.9,1247733202564.6611,8.0,98424755538.03157
140000,9.928,917441192009.2124,8.0,98424755538.03157
150000,9.934,97214377452.57753,8.0,97214377452.57753
160000,9.94,98440831079.53508,8.0,97214377452.57753
170000,9.954,468325443765.2551,8.0,97214377452.57753
180000,9.962,66856008517.99479,8.0,66856008517.99479
190000,9.964,216093434244.83014,8.0,66856008517.99479
200000,9.976,762010120965.442,8.0,66856008517.99479
210000,9.984,335103972870.6719,8.0,66856008517.99479
220000,9.994,157638530115.8663,8.0,66856008517.99479
230000,9.998,134602540425.30685,8.0,66856008517.99479
240000,10.002,43598354049.775826,8.0,43598354049.775826
250000,10.004,47930497720.79702,8.0,43598354049.775826
260000,10.016,86275887801.1678,8.0,43598354049.775826
270000,10.014,126710093368.83237,8.0,43598354049.775826
280000,10.026,111036114263.58199,8.0,43598354049.775826
290000,10.034,172650082829.03732,8.0,43598354049.775826
300000,10.044,126237993654.38571,8.0,43598354049.775826
310000,10.04,64451294194.24242,8.0,43598354049.775826
320000,10.04,30599796529.44192,8.0,30599796529.44192
330000,10.046,113257563490.24628,8.0,30599796529.44192
340000,10.044,448647544462.84283,8.0,30599796529.44192
350000,10.046,108956151343.6184,8.0,30599796529.44192
360000,10.054,69293905531.1272,8.0,30599796529.44192
370000,10.046,1238757753999.5964,8.0,30599796529.44192
380000,10.046,831403984763.7627,8.0,30599796529.44192
390000,10.06,94382184943.6276,8.0,30599796529.44192
400000,10.062,472690519478.5221,8.0,30599796529.44192
410000,10.058,31372032346.098385,8.0,30599796529.44192
420000,10.062,130869023674.5785,8.0,30599796529.44192
430000,10.066,44122734237.12521,8.0,30599796529.44192
440000,10.064,45065941621.259636,8.0,30599796529.44192
450000,10.066,110062459975.2775,8.0,30599796529.44192
460000,10.064,528948234257.8036,8.0,30599796529.44192
470000,10.072,49670471074.55599,8.0,30599796529.44192
480000,10.064,46218366242.11853,8.0,30599796529.44192
490000,10.07,138053893427.78098,8.0,30599796529.44192
500000,10.068,116223958380.74074,8.0,30599796529.44192
510000,10.064,1214244165069.3218,8.0,30599796529.44192
520000,10.07,949147213829.8641,8.0,30599796529.44192
530000,10.072,135816601284.9015,8.0,30599796529.44192
540000,10.07,45808693296.503654,8.0,30599796529.44192
550000,10.074,1787075726384.362,8.0,30599796529.44192
560000,10.07,757915251192.4305,8.0,30599796529.44192
570000,10.074,97212237478.78941,8.0,30599796529.44192
580000,10.078,116525000572.72525,8.0,30599796529.44192
590000,10.076,48630905245.500755,8.0,30599796529.44192
600000,10.074,74666844872.68715,8.0,30599796529.44192
610000,10.076,49830455448.79157,8.0,30599796529.44192
620000,10.078,54129142724.52876,8.0,30599796529.44192
630000,10.076,118821328557.98497,8.0,30599796529.44192
640000,10.078,674586786008.2512,8.0,30599796529.44192
650000,10.08,1434569865220.6052,8.0,30599796529.44192
660000,10.082,46795900315.91289,8.0,30599796529.44192
670000,10.082,109959963350.8493,8.0,30599796529.44192
680000,10.078,51211364737.17021,8.0,30599796529.44192
690000,10.08,110007340128.50165,8.0,30599796529.44192
700000,10.08,63127795062.72866,8.0,30599796529.44192
710000,10.084,83230644279.33559,8.0,30599796529.44192
720000,10.082,55256781727.06671,8.0,30599796529.44192
730000,10.082,136433719539.86282,8.0,30599796529.44192
740000,10.08,84759693561.99052,8.0,30599796529.44192
750000,10.084,609016752801.7439,8.0,30599796529.44192
760000,10.08,455285751954.3334,8.0,30599796529.44192
770000,10.082,101033352804.26083,8.0,30599796529.44192
780000,10.084,95786621981.25826,8.0,30599796529.44192
790000,10.084,87374182535.7286,8.0,30599796529.44192
800000,10.084,52498273757.6012,8.0,30599796529.44192
810000,10.084,66675827530.23754,8.0,30599796529.44192
820000,10.084,95525291829.87885,8.0,30599796529.44192
830000,10.082,1333829548991.1013,8.0,30599796529.44192
840000,10.086,45995220392.512505,8.0,30599796529.44192
850000,10.092,241606789969.86984,8.0,30599796529.44192
860000,10.088,339150089694.7601,8.0,30599796529.44192
870000,10.088,279485592148.9138,8.0,30599796529.44192
880000,10.086,75016853659.75961,8.0,30599796529.44192
890000,10.088,37372133030.00084,8.0,30599796529.44192
900000,10.088,63771701791.71484,8.0,30599796529.44192
910000,10.09,725633435213.6555,8.0,30599796529.44192
920000,10.09,169246130117.64752,8.0,30599796529.44192
930000,10.088,81548346606.01155,8.0,30599796529.44192
940000,10.094,459611210930.7049,8.0,30599796529.44192
950000,10.09,242710489995.71246,8.0,30599796529.44192
960000,10.09,170100923538.88394,8.0,30599796529.44192
970000,10.088,787521735952.7938,8.0,30599796529.44192
980000,10.094,83207708697.77864,8.0,30599796529.44192
990000,10.094,62232333822.17736,8.0,30599796529.44192
1000000,10.096,95331009608.5707,8.0,30599796529.44192
1010000,10.096,36938796276.86947,8.0,30599796529.44192
1020000,10.094,77373345689.65201,8.0,30599796529.44192
1030000,10.094,95236589509.97575,8.0,30599796529.44192
1040000,10.094,107874141669.53311,8.0,30599796529.44192
1050000,10.094,78015225171.78511,8.0,30599796529.44192
1060000,10.094,70626373855.82715,8.0,30599796529.44192
1070000,10.092,75996324559.48389,8.0,30599796529.44192
1080000,10.094,67674024511.71012,8.0,30599796529.44192
1090000,10.098,71506801476.85037,8.0,30599796529.44192
1100000,10.096,64042660822.90712,8.0,30599796529.44192
1110000,10.094,66805688406.91689,8.0,30599796529.44192
1120000,10.096,70494157359.11362,8.0,30599796529.44192
1130000,10.098,562284114467.4077,8.0,30599796529.44192
1140000,10.096,126715720012.98589,8.0,30599796529.44192
1150000,10.098,179544117634.32745,8.0,30599796529.44192
1160000,10.098,66572452110.313484,8.0,30599796529.44192
1170000,10.098,938220513093.1101,8.0,30599796529.44192
1180000,10.1,22942611289.701565,8.0,22942611289.701565
1190000,10.096,22681022000.606117,8.0,22681022000.606117
