iter,Test BPP,Test MSE,Best Loss,Best MSE
1,8.0,2498537245570348.5,8.0,2498537245570348.5
10000,8.192,45317923341293.484,8.0,45317923341293.484
20000,8.178,4041646062000.8423,8.0,4041646062000.8423
30000,8.17,2942295111025.546,8.0,2942295111025.546
40000,8.178,1959216984448.254,8.0,1959216984448.254
50000,8.19,1283103208415.1685,8.0,1283103208415.1685
60000,8.192,1606819533216.169,8.0,1283103208415.1685
70000,8.198,9538090800618.781,8.0,1283103208415.1685
80000,8.198,2263379454001.559,8.0,1283103208415.1685
90000,8.2,832628250052.2229,8.0,832628250052.2229
100000,8.204,1344427797302.9756,8.0,832628250052.2229
110000,8.204,1858962051286.9668,8.0,832628250052.2229
120000,8.214,900135553178.1049,8.0,832628250052.2229
130000,8.216,1341309948546.8088,8.0,832628250052.2229
140000,8.214,2065222866770.28,8.0,832628250052.2229
150000,8.216,1391084885340.9321,8.0,832628250052.2229
160000,8.214,2302770261432.4043,8.0,832628250052.2229
170000,8.216,3053588579660.9717,8.0,832628250052.2229
180000,8.212,1713918880090.9126,8.0,832628250052.2229
190000,8.216,2847250706249.2607,8.0,832628250052.2229
200000,8.218,3287602675553.513,8.0,832628250052.2229
210000,8.218,1854581345284.3657,8.0,832628250052.2229
220000,8.218,2252916914541.365,8.0,832628250052.2229
230000,8.22,444978326588.095,8.0,444978326588.095
240000,8.216,851536306095.385,8.0,444978326588.095
250000,8.22,1326072329641.7297,8.0,444978326588.095
260000,8.216,17389656091304.227,8.0,444978326588.095
270000,8.216,1416324129093.1477,8.0,444978326588.095
280000,8.216,1241567502765.2747,8.0,444978326588.095
290000,8.214,3212385022826.973,8.0,444978326588.095
300000,8.218,7505297700991.732,8.0,444978326588.095
310000,8.218,1057742365481.2412,8.0,444978326588.095
320000,8.22,697736915859.2836,8.0,444978326588.095
330000,8.218,981078404119.8298,8.0,444978326588.095
340000,8.218,1467483844026.5415,8.0,444978326588.095
350000,8.218,504381788669.2092,8.0,444978326588.095
360000,8.216,1646300328562.9014,8.0,444978326588.095
370000,8.216,2751458123003.6914,8.0,444978326588.095
380000,8.216,4824669376770.859,8.0,444978326588.095
390000,8.216,3680983097580.242,8.0,444978326588.095
400000,8.216,2588860013912.1084,8.0,444978326588.095
410000,8.216,8474157525525.309,8.0,444978326588.095
420000,8.216,706164029353.0748,8.0,444978326588.095
430000,8.216,1366746765423.7202,8.0,444978326588.095
440000,8.218,418316760335.8664,8.0,418316760335.8664
450000,8.218,853673656361.8308,8.0,418316760335.8664
460000,8.216,6866364902067.286,8.0,418316760335.8664
470000,8.216,614114793088.9059,8.0,418316760335.8664
480000,8.218,167217445086.62128,8.0,167217445086.62128
490000,8.218,3789073229941.339,8.0,167217445086.62128
500000,8.218,1758347612775.0815,8.0,167217445086.62128
510000,8.218,1056146496678.2592,8.0,167217445086.62128
520000,8.218,831128617820.0288,8.0,167217445086.62128
530000,8.218,1290336058910.7422,8.0,167217445086.62128
540000,8.22,3569828586207.4087,8.0,167217445086.62128
550000,8.22,964581158495.5374,8.0,167217445086.62128
560000,8.22,919306950658.2817,8.0,167217445086.62128
570000,8.218,800737279184.8405,8.0,167217445086.62128
580000,8.218,1741547643478.8245,8.0,167217445086.62128
590000,8.218,418652864514.2705,8.0,167217445086.62128
600000,8.218,1189348373194.4927,8.0,167217445086.62128
610000,8.218,710534594783.168,8.0,167217445086.62128
620000,8.22,1054692113895.1901,8.0,167217445086.62128
630000,8.218,1051828938121.4442,8.0,167217445086.62128
640000,8.22,889117390852.1104,8.0,167217445086.62128
650000,8.212,749941914096.7886,8.0,167217445086.62128
660000,8.218,2384962306155.164,8.0,167217445086.62128
670000,8.218,12995860103867.736,8.0,167217445086.62128
680000,8.218,442260393353.4915,8.0,167217445086.62128
690000,8.218,3448639300542.8647,8.0,167217445086.62128
700000,8.218,847557939046.4644,8.0,167217445086.62128
710000,8.218,860463510235.0582,8.0,167217445086.62128
720000,8.216,1582074794259.109,8.0,167217445086.62128
730000,8.218,933669584869.9526,8.0,167217445086.62128
740000,8.22,2089086390161.7314,8.0,167217445086.62128
750000,8.22,1354283110728.7427,8.0,167217445086.62128
760000,8.216,622134623676.7565,8.0,167217445086.62128
770000,8.216,2406153964859.7617,8.0,167217445086.62128
780000,8.218,1296475370737.5366,8.0,167217445086.62128
790000,8.22,1803821915157.5244,8.0,167217445086.62128
800000,8.218,1135332859224.026,8.0,167217445086.62128
810000,8.22,1382699949565.6353,8.0,167217445086.62128
820000,8.218,2504312108122.7104,8.0,167217445086.62128
830000,8.218,628261994119.1643,8.0,167217445086.62128
840000,8.216,1023946243458.4292,8.0,167217445086.62128
850000,8.218,864090688471.0714,8.0,167217445086.62128
860000,8.22,617206659956.4457,8.0,167217445086.62128
870000,8.222,3653098386348.1636,8.0,167217445086.62128
880000,8.22,910875615586.8131,8.0,167217445086.62128
890000,8.22,765256512896.3759,8.0,167217445086.62128
900000,8.22,981947849404.3787,8.0,167217445086.62128
910000,8.22,6409397279574.973,8.0,167217445086.62128
920000,8.22,1175734083369.2888,8.0,167217445086.62128
930000,8.22,2273216604560.382,8.0,167217445086.62128
940000,8.224,384810412122.33075,8.0,167217445086.62128
950000,8.224,1645068704623.6655,8.0,167217445086.62128
960000,8.224,789093967001.0396,8.0,167217445086.62128
970000,8.224,4061904474548.262,8.0,167217445086.62128
980000,8.224,610377740929.8073,8.0,167217445086.62128
990000,8.224,4086573038940.749,8.0,167217445086.62128
1000000,8.222,923087976121.4253,8.0,167217445086.62128
1010000,8.222,610813044563.1903,8.0,167217445086.62128
1020000,8.218,1102411788878.4756,8.0,167217445086.62128
1030000,8.218,674139674160.5243,8.0,167217445086.62128
1040000,8.218,871017152340.4517,8.0,167217445086.62128
1050000,8.218,1481579131829.5652,8.0,167217445086.62128
1060000,8.218,1180319984411.3738,8.0,167217445086.62128
1070000,8.218,699036470996.5258,8.0,167217445086.62128
1080000,8.218,6577005165991.855,8.0,167217445086.62128
1090000,8.22,3214699619102.5186,8.0,167217445086.62128
1100000,8.222,5055354102941.296,8.0,167217445086.62128
1110000,8.222,1296151300454.2485,8.0,167217445086.62128
1120000,8.222,999724804600.0327,8.0,167217445086.62128
1130000,8.22,589855764905.732,8.0,167217445086.62128
1140000,8.22,779994046950.2523,8.0,167217445086.62128
1150000,8.218,416493451775.36896,8.0,167217445086.62128
1160000,8.22,798186166854.9907,8.0,167217445086.62128
1170000,8.224,2002891328591.4211,8.0,167217445086.62128
1180000,8.226,1717488373982.0264,8.0,167217445086.62128
1190000,8.222,2034613038575.1055,8.0,167217445086.62128
1200000,8.22,314647828031.43536,8.0,167217445086.62128
1210000,8.222,835049306703.4792,8.0,167217445086.62128
1220000,8.222,922540411246.8112,8.0,167217445086.62128
1230000,8.222,9803244878827.225,8.0,167217445086.62128
1240000,8.22,4168969961013.4546,8.0,167217445086.62128
1250000,8.22,451489810523.9364,8.0,167217445086.62128
1260000,8.222,817352791351.5956,8.0,167217445086.62128
1270000,8.22,679132930880.6204,8.0,167217445086.62128
1280000,8.218,2819266582718.903,8.0,167217445086.62128
1290000,8.218,1122850895624.8374,8.0,167217445086.62128
1300000,8.218,504231027170.2927,8.0,167217445086.62128
1310000,8.218,1676836800926.997,8.0,167217445086.62128
1320000,8.218,316389181489.53406,8.0,167217445086.62128
1330000,8.216,823978087333.616,8.0,167217445086.62128
1340000,8.216,1402488467604.8435,8.0,167217445086.62128
1350000,8.218,11985484362130.857,8.0,167217445086.62128
1360000,8.216,1359109018372.0176,8.0,167217445086.62128
1370000,8.218,982937600683.3451,8.0,167217445086.62128
1380000,8.218,1806110883383.954,8.0,167217445086.62128
1390000,8.216,472661436013.41016,8.0,167217445086.62128
1400000,8.218,446982873798.56775,8.0,167217445086.62128
1410000,8.218,947026884322.8447,8.0,167217445086.62128
1420000,8.22,1105910017394.7568,8.0,167217445086.62128
1430000,8.22,2481930602516.1743,8.0,167217445086.62128
1440000,8.22,1077586160789.3895,8.0,167217445086.62128
1450000,8.22,1693070241930.1536,8.0,167217445086.62128
1460000,8.216,1450845387085.7678,8.0,167217445086.62128
1470000,8.216,1445002048902.0732,8.0,167217445086.62128
1480000,8.214,1658079160872.223,8.0,167217445086.62128
1490000,8.22,515389292535.8855,8.0,167217445086.62128
1500000,8.22,239093757149.38004,8.0,167217445086.62128
