weight_bw,fp32_top1,baseline_weight_only_top1,adaround_weight_only_top1,baseline_drop,adaround_drop,adaround_gain,elapsed_sec
2,80.4964,0.0877,28.8823,80.4087,51.614,28.7946,1854.21
3,80.4964,0.1116,74.0055,80.3848,6.4909,73.8939,1817.35
4,80.4964,56.0679,78.7006,24.4285,1.7958,22.6327,1837.25
5,80.4964,71.683,79.9225,8.8134,0.5739,8.2395,1858.02
6,80.4964,79.442,80.3001,1.0544,0.1963,0.8581,1818.71
