Experiment,key,bpp,common_source_files,mmlu_source_files,mmlu_subjects,hellaswag,mmlu,arc_challenge,arc_easy,boolq,piqa,winogrande
QuIP#_no_e2e,2,2.0,"['2bit_mmlu_hs_zeroshot_results.json', '2bit_zeroshot_result.json']",['2bit_mmlu_hs_zeroshot_results.json'],"{'mmlu_formal_logic': 0.40476190476190477, 'mmlu_high_school_european_history': 0.5757575757575758, 'mmlu_high_school_us_history': 0.5392156862745098, 'mmlu_high_school_world_history': 0.5654008438818565, 'mmlu_international_law': 0.5454545454545454, 'mmlu_jurisprudence': 0.42592592592592593, 'mmlu_logical_fallacies': 0.38650306748466257, 'mmlu_moral_disputes': 0.3699421965317919, 'mmlu_moral_scenarios': 0.2871508379888268, 'mmlu_philosophy': 0.45016077170418006, 'mmlu_prehistory': 0.4783950617283951, 'mmlu_professional_law': 0.3376792698826597, 'mmlu_world_religions': 0.5555555555555556, 'mmlu_business_ethics': 0.43, 'mmlu_clinical_knowledge': 0.5509433962264151, 'mmlu_college_medicine': 0.48554913294797686, 'mmlu_global_facts': 0.21, 'mmlu_human_aging': 0.3632286995515695, 'mmlu_management': 0.6699029126213593, 'mmlu_marketing': 0.6239316239316239, 'mmlu_medical_genetics': 0.48, 'mmlu_miscellaneous': 0.524904214559387, 'mmlu_nutrition': 0.4934640522875817, 'mmlu_professional_accounting': 0.32978723404255317, 'mmlu_professional_medicine': 0.49264705882352944, 'mmlu_virology': 0.46987951807228917, 'mmlu_econometrics': 0.2982456140350877, 'mmlu_high_school_geography': 0.5909090909090909, 'mmlu_high_school_government_and_politics': 0.5544041450777202, 'mmlu_high_school_macroeconomics': 0.3974358974358974, 'mmlu_high_school_microeconomics': 0.47478991596638653, 'mmlu_high_school_psychology': 0.6477064220183486, 'mmlu_human_sexuality': 0.5038167938931297, 'mmlu_professional_psychology': 0.3790849673202614, 'mmlu_public_relations': 0.45454545454545453, 'mmlu_security_studies': 0.5510204081632653, 'mmlu_sociology': 0.582089552238806, 'mmlu_us_foreign_policy': 0.59, 'mmlu_abstract_algebra': 0.28, 'mmlu_anatomy': 0.4148148148148148, 'mmlu_astronomy': 0.5, 'mmlu_college_biology': 0.5069444444444444, 'mmlu_college_chemistry': 0.4, 'mmlu_college_computer_science': 0.39, 'mmlu_college_mathematics': 0.31, 'mmlu_college_physics': 0.4117647058823529, 'mmlu_computer_security': 0.59, 'mmlu_conceptual_physics': 0.3446808510638298, 'mmlu_electrical_engineering': 0.4206896551724138, 'mmlu_elementary_mathematics': 0.2804232804232804, 'mmlu_high_school_biology': 0.5548387096774193, 'mmlu_high_school_chemistry': 0.3448275862068966, 'mmlu_high_school_computer_science': 0.36, 'mmlu_high_school_mathematics': 0.25925925925925924, 'mmlu_high_school_physics': 0.33112582781456956, 'mmlu_high_school_statistics': 0.4583333333333333, 'mmlu_machine_learning': 0.32142857142857145}",0.5060744871539534,0.4362626406494801,0.378839590443686,0.7159090909090909,0.7862385321100918,0.7421109902067464,0.675611681136543
QuIP#_no_e2e,3,3.0,"['3bit_mmlu_hs_zeroshot_results.json', '3bit_zeroshot_result.json']",['3bit_mmlu_hs_zeroshot_results.json'],"{'mmlu_formal_logic': 0.40476190476190477, 'mmlu_high_school_european_history': 0.7151515151515152, 'mmlu_high_school_us_history': 0.7549019607843137, 'mmlu_high_school_world_history': 0.7974683544303798, 'mmlu_international_law': 0.768595041322314, 'mmlu_jurisprudence': 0.7129629629629629, 'mmlu_logical_fallacies': 0.6748466257668712, 'mmlu_moral_disputes': 0.638728323699422, 'mmlu_moral_scenarios': 0.24916201117318434, 'mmlu_philosophy': 0.6463022508038585, 'mmlu_prehistory': 0.6882716049382716, 'mmlu_professional_law': 0.41916558018252936, 'mmlu_world_religions': 0.7777777777777778, 'mmlu_business_ethics': 0.66, 'mmlu_clinical_knowledge': 0.6641509433962264, 'mmlu_college_medicine': 0.5606936416184971, 'mmlu_global_facts': 0.3, 'mmlu_human_aging': 0.6233183856502242, 'mmlu_management': 0.8252427184466019, 'mmlu_marketing': 0.8162393162393162, 'mmlu_medical_genetics': 0.75, 'mmlu_miscellaneous': 0.756066411238825, 'mmlu_nutrition': 0.6830065359477124, 'mmlu_professional_accounting': 0.4219858156028369, 'mmlu_professional_medicine': 0.6691176470588235, 'mmlu_virology': 0.5421686746987951, 'mmlu_econometrics': 0.34210526315789475, 'mmlu_high_school_geography': 0.7424242424242424, 'mmlu_high_school_government_and_politics': 0.8031088082901554, 'mmlu_high_school_macroeconomics': 0.5358974358974359, 'mmlu_high_school_microeconomics': 0.5798319327731093, 'mmlu_high_school_psychology': 0.7834862385321101, 'mmlu_human_sexuality': 0.6793893129770993, 'mmlu_professional_psychology': 0.6225490196078431, 'mmlu_public_relations': 0.6727272727272727, 'mmlu_security_studies': 0.6938775510204082, 'mmlu_sociology': 0.8059701492537313, 'mmlu_us_foreign_policy': 0.85, 'mmlu_abstract_algebra': 0.25, 'mmlu_anatomy': 0.6296296296296297, 'mmlu_astronomy': 0.631578947368421, 'mmlu_college_biology': 0.6875, 'mmlu_college_chemistry': 0.36, 'mmlu_college_computer_science': 0.39, 'mmlu_college_mathematics': 0.33, 'mmlu_college_physics': 0.38235294117647056, 'mmlu_computer_security': 0.73, 'mmlu_conceptual_physics': 0.46382978723404256, 'mmlu_electrical_engineering': 0.4827586206896552, 'mmlu_elementary_mathematics': 0.37037037037037035, 'mmlu_high_school_biology': 0.6838709677419355, 'mmlu_high_school_chemistry': 0.4876847290640394, 'mmlu_high_school_computer_science': 0.59, 'mmlu_high_school_mathematics': 0.34444444444444444, 'mmlu_high_school_physics': 0.40397350993377484, 'mmlu_high_school_statistics': 0.4398148148148148, 'mmlu_machine_learning': 0.4732142857142857}",0.5737900816570405,0.5753453923942459,0.4718430034129693,0.7866161616161617,0.7975535168195719,0.7823721436343852,0.7245461720599842
QuIP#_no_e2e,4,4.0,"['4bit_mmlu_hs_zeroshot_results.json', '4bit_zeroshot_result.json']",['4bit_mmlu_hs_zeroshot_results.json'],"{'mmlu_formal_logic': 0.4603174603174603, 'mmlu_high_school_european_history': 0.7151515151515152, 'mmlu_high_school_us_history': 0.7941176470588235, 'mmlu_high_school_world_history': 0.8312236286919831, 'mmlu_international_law': 0.7851239669421488, 'mmlu_jurisprudence': 0.7870370370370371, 'mmlu_logical_fallacies': 0.6993865030674846, 'mmlu_moral_disputes': 0.6676300578034682, 'mmlu_moral_scenarios': 0.2446927374301676, 'mmlu_philosophy': 0.7041800643086816, 'mmlu_prehistory': 0.6882716049382716, 'mmlu_professional_law': 0.44654498044328556, 'mmlu_world_religions': 0.7777777777777778, 'mmlu_business_ethics': 0.61, 'mmlu_clinical_knowledge': 0.7433962264150943, 'mmlu_college_medicine': 0.6473988439306358, 'mmlu_global_facts': 0.31, 'mmlu_human_aging': 0.6681614349775785, 'mmlu_management': 0.8543689320388349, 'mmlu_marketing': 0.8717948717948718, 'mmlu_medical_genetics': 0.74, 'mmlu_miscellaneous': 0.7982120051085568, 'mmlu_nutrition': 0.7352941176470589, 'mmlu_professional_accounting': 0.46099290780141844, 'mmlu_professional_medicine': 0.7169117647058824, 'mmlu_virology': 0.5301204819277109, 'mmlu_econometrics': 0.3684210526315789, 'mmlu_high_school_geography': 0.7424242424242424, 'mmlu_high_school_government_and_politics': 0.8290155440414507, 'mmlu_high_school_macroeconomics': 0.617948717948718, 'mmlu_high_school_microeconomics': 0.7100840336134454, 'mmlu_high_school_psychology': 0.8073394495412844, 'mmlu_human_sexuality': 0.7557251908396947, 'mmlu_professional_psychology': 0.6601307189542484, 'mmlu_public_relations': 0.6636363636363637, 'mmlu_security_studies': 0.7306122448979592, 'mmlu_sociology': 0.8208955223880597, 'mmlu_us_foreign_policy': 0.84, 'mmlu_abstract_algebra': 0.3, 'mmlu_anatomy': 0.6444444444444445, 'mmlu_astronomy': 0.6710526315789473, 'mmlu_college_biology': 0.75, 'mmlu_college_chemistry': 0.37, 'mmlu_college_computer_science': 0.49, 'mmlu_college_mathematics': 0.4, 'mmlu_college_physics': 0.3627450980392157, 'mmlu_computer_security': 0.77, 'mmlu_conceptual_physics': 0.5446808510638298, 'mmlu_electrical_engineering': 0.5793103448275863, 'mmlu_elementary_mathematics': 0.41005291005291006, 'mmlu_high_school_biology': 0.7548387096774194, 'mmlu_high_school_chemistry': 0.5320197044334976, 'mmlu_high_school_computer_science': 0.64, 'mmlu_high_school_mathematics': 0.3814814814814815, 'mmlu_high_school_physics': 0.4105960264900662, 'mmlu_high_school_statistics': 0.5, 'mmlu_machine_learning': 0.44642857142857145}",0.5928101971718781,0.6113089303518018,0.49146757679180886,0.7794612794612794,0.8113149847094802,0.7872687704026116,0.7371744277821626
