task,n_pairs,quip_mean,nwc_mean,mean_diff_nwc_minus_quip,t_stat,p_value
arc_challenge,3,0.44738339021615475,0.46387940841865755,0.01649601820250285,3.1317056335050215,0.08861792647067228
arc_easy,3,0.760662177328844,0.777216610549944,0.01655443322109988,2.1848105927104644,0.16051968509725004
hellaswag,3,0.557558255327624,0.5667529708557392,0.009194715528115238,1.7211942518233183,0.22735641212219143
winogrande,3,0.7124440936595633,0.7263877926861353,0.013943699026571962,1.7204528038771725,0.22749060397762638
piqa,3,0.7705839680812477,0.7812840043525572,0.010700036271309369,1.7153772236572509,0.22841200000855433
boolq,3,0.7983690112130479,0.8101936799184505,0.011824668705402627,1.5420133805995455,0.2630128381760597
