quip_idx,nwc_idx,quip_bpp,nwc_bpp,abs_bpp_gap
0,0,2.0,2.3015328621482833,0.30153286214828334
1,2,3.0,2.9666457464202094,0.033354253579790605
2,4,4.0,3.954826640797994,0.04517335920200605
