task,quip_bpp,nwc_bpp,abs_bpp_gap,quip_score,nwc_score,diff_nwc_minus_quip
arc_challenge,2.0,2.3015328621482833,0.30153286214828334,0.378839590443686,0.4052901023890785,0.026450511945392496
arc_challenge,3.0,2.9666457464202094,0.033354253579790605,0.4718430034129693,0.4803754266211604,0.008532423208191087
arc_challenge,4.0,3.954826640797994,0.04517335920200605,0.49146757679180886,0.5059726962457338,0.014505119453924964
arc_easy,2.0,2.3015328621482833,0.30153286214828334,0.7159090909090909,0.7424242424242424,0.02651515151515149
arc_easy,3.0,2.9666457464202094,0.033354253579790605,0.7866161616161617,0.7882996632996633,0.0016835016835016203
arc_easy,4.0,3.954826640797994,0.04517335920200605,0.7794612794612794,0.8009259259259259,0.02146464646464652
boolq,2.0,2.3015328621482833,0.30153286214828334,0.7862385321100918,0.8012232415902141,0.014984709480122316
boolq,3.0,2.9666457464202094,0.033354253579790605,0.7975535168195719,0.8207951070336391,0.023241590214067243
boolq,4.0,3.954826640797994,0.04517335920200605,0.8113149847094802,0.8085626911314985,-0.0027522935779816793
piqa,2.0,2.3015328621482833,0.30153286214828334,0.7421109902067464,0.764961915125136,0.02285092491838958
piqa,3.0,2.9666457464202094,0.033354253579790605,0.7823721436343852,0.7845484221980413,0.0021762785636560977
piqa,4.0,3.954826640797994,0.04517335920200605,0.7872687704026116,0.794341675734494,0.007072905331882429
winogrande,2.0,2.3015328621482833,0.30153286214828334,0.675611681136543,0.7048145224940805,0.02920284135753748
winogrande,3.0,2.9666457464202094,0.033354253579790605,0.7245461720599842,0.7261247040252565,0.0015785319652723562
winogrande,4.0,3.954826640797994,0.04517335920200605,0.7371744277821626,0.7482241515390686,0.011049723756906049
hellaswag,2.0,2.3015328621482833,0.30153286214828334,0.5060744871539534,0.5258912567217686,0.019816769567815196
hellaswag,3.0,2.9666457464202094,0.033354253579790605,0.5737900816570405,0.5786695877315275,0.004879506074487061
hellaswag,4.0,3.954826640797994,0.04517335920200605,0.5928101971718781,0.5956980681139216,0.002887870942043458
