module_name,module_type,original_shape,matrix_shape,padded_shape,used_hessian,hessian_input_dim,hessian_sample_count,hessian_batch_count,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",True,147,6422528,16,0,13,9408,320.0,39394.9921875,3.815917205810547,4.187392877072704,,,,0.0011382028460502625,0.12530623376369476,0.015706555917859077,1.1155
layer1.0.conv1,Conv2d,"[64, 64, 1, 1]","[64, 64]","[64, 64]",True,64,1605632,16,0,0,4096,128.0,15529.66796875,3.7601728439331055,3.7914228439331055,,,,0.00030313903698697686,0.10339603573083878,0.010777239687740803,0.3357
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,141339.34375,3.8028250800238714,3.8340750800238714,,,,6.199903145898134e-05,0.10289090126752853,0.01059514656662941,1.1883
layer1.0.conv3,Conv2d,"[256, 64, 1, 1]","[256, 64]","[256, 64]",True,64,1605632,16,0,0,16384,128.0,62935.421875,3.833460807800293,3.841273307800293,,,,0.000124829588457942,0.11983708292245865,0.014374717138707638,0.4565
layer1.0.downsample.0,Conv2d,"[256, 64, 1, 1]","[256, 64]","[256, 64]",True,64,1605632,16,0,0,16384,128.0,61745.5703125,3.760838031768799,3.768650531768799,,,,0.00021477878908626735,0.1033768504858017,0.01072315126657486,0.4937
layer1.1.conv1,Conv2d,"[64, 256, 1, 1]","[64, 256]","[64, 256]",True,256,1605632,16,0,0,16384,512.0,63634.703125,3.8527040481567383,3.8839540481567383,,,,9.131756087299436e-05,0.11238179355859756,0.012649141252040863,0.6467
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,142201.578125,3.8262146843804254,3.8574646843804254,,,,5.462740591610782e-05,0.09812948107719421,0.009629345498979092,0.8913
layer1.1.conv3,Conv2d,"[256, 64, 1, 1]","[256, 64]","[256, 64]",True,64,1605632,16,0,0,16384,128.0,62801.21875,3.8252696990966797,3.8330821990966797,,,,6.885019683977589e-05,0.09296536445617676,0.0086829187348485,0.3214
layer1.2.conv1,Conv2d,"[64, 256, 1, 1]","[64, 256]","[64, 256]",True,256,1605632,16,0,0,16384,512.0,64277.50390625,3.891937494277954,3.923187494277954,,,,5.9733938542194664e-05,0.1003229096531868,0.010081566870212555,0.4439
layer1.2.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,144722.03125,3.894586351182726,3.925836351182726,,,,4.366204666439444e-05,0.09610774368047714,0.009237636812031269,0.9744
